"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"1/1/2021, Central Time",487997,491485,496444,8447
SOCO,"1/2/2021, Central Time",500842,490115,514491,13649
SOCO,"1/3/2021, Central Time",567044,558619,573691,6647
SOCO,"1/4/2021, Central Time",665726,636675,663486,-2240
SOCO,"1/5/2021, Central Time",636561,613570,644967,8406
SOCO,"1/6/2021, Central Time",686840,660545,676291,-10549
SOCO,"1/7/2021, Central Time",700262,680375,695992,-4270
SOCO,"1/8/2021, Central Time",717182,700997,718709,1527
SOCO,"1/9/2021, Central Time",740589,715022,735951,-4638
SOCO,"1/10/2021, Central Time",739977,720470,721273,-18704
SOCO,"1/11/2021, Central Time",727136,705723,730117,2981
SOCO,"1/12/2021, Central Time",729199,706279,737402,8203
SOCO,"1/13/2021, Central Time",752213,718172,745440,-6773
SOCO,"1/14/2021, Central Time",718490,698668,711765,-6725
SOCO,"1/15/2021, Central Time",648637,628506,649866,1229
SOCO,"1/16/2021, Central Time",701906,674076,703881,1975
SOCO,"1/17/2021, Central Time",686784,666091,687734,950
SOCO,"1/18/2021, Central Time",696167,660118,703246,7079
SOCO,"1/19/2021, Central Time",702463,666717,710105,7642
SOCO,"1/20/2021, Central Time",618983,620381,631484,12501
SOCO,"1/21/2021, Central Time",615879,592486,630368,14489
SOCO,"1/22/2021, Central Time",600534,580378,611109,10575
SOCO,"1/23/2021, Central Time",595006,581967,605921,10915
SOCO,"1/24/2021, Central Time",558185,551733,579443,21258
SOCO,"1/25/2021, Central Time",565766,549044,577779,12013
SOCO,"1/26/2021, Central Time",536363,528965,556685,20322
SOCO,"1/27/2021, Central Time",563878,549917,578408,14530
SOCO,"1/28/2021, Central Time",681879,661777,687587,5708
SOCO,"1/29/2021, Central Time",721373,697628,724364,2991
SOCO,"1/30/2021, Central Time",663914,642800,667204,3290
SOCO,"1/31/2021, Central Time",578437,557707,582354,3917
SOCO,"2/1/2021, Central Time",733938,707791,717304,-16634
SOCO,"2/2/2021, Central Time",766311,741696,761097,-5214
SOCO,"2/3/2021, Central Time",752448,719076,733770,-18678
SOCO,"2/4/2021, Central Time",729136,694545,714428,-14708
SOCO,"2/5/2021, Central Time",621219,614981,629775,8556
SOCO,"2/6/2021, Central Time",678152,650577,663653,-14499
SOCO,"2/7/2021, Central Time",642695,618925,638474,-4221
SOCO,"2/8/2021, Central Time",674552,654762,668553,-5999
SOCO,"2/9/2021, Central Time",583968,568518,594645,10677
SOCO,"2/10/2021, Central Time",570147,546889,583736,13589
SOCO,"2/11/2021, Central Time",560874,536631,578422,17548
SOCO,"2/12/2021, Central Time",614681,598946,635553,20872
SOCO,"2/13/2021, Central Time",658751,650293,680009,21258
SOCO,"2/14/2021, Central Time",656601,647998,674416,17815
SOCO,"2/15/2021, Central Time",703093,684684,720768,17675
SOCO,"2/16/2021, Central Time",830000,795975,852265,22265
SOCO,"2/17/2021, Central Time",789485,782199,819149,29664
SOCO,"2/18/2021, Central Time",695128,685698,738544,43416
SOCO,"2/19/2021, Central Time",715444,695711,755336,39892
SOCO,"2/20/2021, Central Time",694543,677624,725172,30629
SOCO,"2/21/2021, Central Time",637641,622547,671942,34301
SOCO,"2/22/2021, Central Time",586914,578039,618717,31803
SOCO,"2/23/2021, Central Time",604364,603723,624662,20298
SOCO,"2/24/2021, Central Time",582887,569130,597124,14237
SOCO,"2/25/2021, Central Time",550953,555350,565670,14717
SOCO,"2/26/2021, Central Time",553682,515587,569335,15653
SOCO,"2/27/2021, Central Time",519206,518095,526610,7404
SOCO,"2/28/2021, Central Time",507826,503190,517341,9515
SOCO,"3/1/2021, Central Time",535883,520308,534234,-1649
SOCO,"3/2/2021, Central Time",626048,608020,610639,-15409
SOCO,"3/3/2021, Central Time",611319,608311,605828,-5491
SOCO,"3/4/2021, Central Time",586838,584392,579727,-7111
SOCO,"3/5/2021, Central Time",567610,559695,570608,2998
SOCO,"3/6/2021, Central Time",547235,530077,554018,6783
SOCO,"3/7/2021, Central Time",572876,564043,569000,-3876
SOCO,"3/8/2021, Central Time",607809,577485,595877,-11932
SOCO,"3/9/2021, Central Time",591528,585040,576049,-15479
SOCO,"3/10/2021, Central Time",563207,537731,551535,-11672
SOCO,"3/11/2021, Central Time",543933,541190,548032,4099
SOCO,"3/12/2021, Central Time",533865,528123,542630,8765
SOCO,"3/13/2021, Central Time",500117,494579,513372,13255
SOCO,"3/14/2021, Central Time",479552,462483,492831,13279
SOCO,"3/15/2021, Central Time",530733,522584,539272,8539
SOCO,"3/16/2021, Central Time",566246,535069,571647,5401
SOCO,"3/17/2021, Central Time",562694,546882,558077,-4617
SOCO,"3/18/2021, Central Time",539166,520607,542915,3749
SOCO,"3/19/2021, Central Time",557651,545335,558700,1049
SOCO,"3/20/2021, Central Time",535912,526080,529644,-6268
SOCO,"3/21/2021, Central Time",526636,520487,524265,-2371
SOCO,"3/22/2021, Central Time",542688,533157,548560,5872
SOCO,"3/23/2021, Central Time",532774,526085,540386,7612
SOCO,"3/24/2021, Central Time",535577,535690,538349,2772
SOCO,"3/25/2021, Central Time",547499,549064,556281,8782
