"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"1/1/2019, Central Time",485983,489574,510840,-24857
SOCO,"1/2/2019, Central Time",551637,529604,580831,-29194
SOCO,"1/3/2019, Central Time",571331,557245,595905,-24574
SOCO,"1/4/2019, Central Time",571781,577276,594302,-22521
SOCO,"1/5/2019, Central Time",575328,566848,592163,-16835
SOCO,"1/6/2019, Central Time",566077,547689,580989,-14912
SOCO,"1/7/2019, Central Time",590470,572870,612161,-21691
SOCO,"1/8/2019, Central Time",574439,553094,602337,-27898
SOCO,"1/9/2019, Central Time",625326,606212,649257,-23931
SOCO,"1/10/2019, Central Time",718664,708206,715629,3035
SOCO,"1/11/2019, Central Time",717152,704378,704706,12446
SOCO,"1/12/2019, Central Time",640984,627049,640675,309
SOCO,"1/13/2019, Central Time",617784,582672,627875,-10091
SOCO,"1/14/2019, Central Time",700554,672414,704640,-4086
SOCO,"1/15/2019, Central Time",727401,704345,730131,-2730
SOCO,"1/16/2019, Central Time",727658,701966,728966,-1308
SOCO,"1/17/2019, Central Time",704502,678984,706746,-2244
SOCO,"1/18/2019, Central Time",595031,579589,596401,-1370
SOCO,"1/19/2019, Central Time",549260,549831,542524,6736
SOCO,"1/20/2019, Central Time",694727,682350,683098,11629
SOCO,"1/21/2019, Central Time",794443,758635,778527,15916
SOCO,"1/22/2019, Central Time",743879,711492,737943,5936
SOCO,"1/23/2019, Central Time",617313,591083,630613,-13300
SOCO,"1/24/2019, Central Time",673355,656965,683059,-9704
SOCO,"1/25/2019, Central Time",744159,741598,763922,-19763
SOCO,"1/26/2019, Central Time",711294,701700,730001,-18707
SOCO,"1/27/2019, Central Time",682011,651309,704372,-22361
SOCO,"1/28/2019, Central Time",685412,674959,701390,-15978
SOCO,"1/29/2019, Central Time",721966,779650,738265,-16299
SOCO,"1/30/2019, Central Time",826734,868595,833481,-6747
SOCO,"1/31/2019, Central Time",766475,800145,771371,-4896
SOCO,"2/1/2019, Central Time",673780,678688,680321,-6541
SOCO,"2/2/2019, Central Time",559042,572561,568401,-9359
SOCO,"2/3/2019, Central Time",499678,510916,514927,-15249
SOCO,"2/4/2019, Central Time",543807,551326,558419,-14612
SOCO,"2/5/2019, Central Time",556366,540303,580709,-24343
SOCO,"2/6/2019, Central Time",551307,535905,580036,-28729
SOCO,"2/7/2019, Central Time",552231,537805,572399,-20168
SOCO,"2/8/2019, Central Time",555949,548242,580255,-24306
SOCO,"2/9/2019, Central Time",606442,583696,621151,-14709
SOCO,"2/10/2019, Central Time",609937,584459,623552,-13615
SOCO,"2/11/2019, Central Time",616448,584680,630305,-13857
SOCO,"2/12/2019, Central Time",577060,546263,605467,-28407
SOCO,"2/13/2019, Central Time",639364,608834,650959,-11595
SOCO,"2/14/2019, Central Time",647259,621239,655564,-8305
SOCO,"2/15/2019, Central Time",569639,554902,599781,-30142
SOCO,"2/16/2019, Central Time",517876,504269,554896,-37020
SOCO,"2/17/2019, Central Time",536609,497915,563849,-27240
SOCO,"2/18/2019, Central Time",583860,575530,615774,-31914
SOCO,"2/19/2019, Central Time",661590,617344,672680,-11090
SOCO,"2/20/2019, Central Time",656393,617515,674482,-18089
SOCO,"2/21/2019, Central Time",598085,579435,614755,-16670
SOCO,"2/22/2019, Central Time",572418,546346,597663,-25245
SOCO,"2/23/2019, Central Time",548317,532522,571302,-22984
SOCO,"2/24/2019, Central Time",516620,524286,544988,-28368
SOCO,"2/25/2019, Central Time",603373,606695,609309,-5936
SOCO,"2/26/2019, Central Time",583847,582175,610124,-26277
SOCO,"2/27/2019, Central Time",549628,549449,584377,-34749
SOCO,"2/28/2019, Central Time",551824,546348,582423,-30599
SOCO,"3/1/2019, Central Time",537651,536514,566898,-29247
SOCO,"3/2/2019, Central Time",512834,498754,542863,-30029
SOCO,"3/3/2019, Central Time",519872,,540493,-20621
SOCO,"3/4/2019, Central Time",673609,642375,690655,-17046
SOCO,"3/5/2019, Central Time",734746,735426,725389,9357
SOCO,"3/6/2019, Central Time",743076,746504,723153,19923
SOCO,"3/7/2019, Central Time",656009,679039,663997,-7988
SOCO,"3/8/2019, Central Time",573392,550332,592715,-19323
SOCO,"3/9/2019, Central Time",520752,514435,542790,-22038
SOCO,"3/10/2019, Central Time",487621,470006,519910,-32289
SOCO,"3/11/2019, Central Time",555210,538227,584561,-29351
SOCO,"3/12/2019, Central Time",558722,525352,575259,-16537
SOCO,"3/13/2019, Central Time",552579,530708,564255,-11676
SOCO,"3/14/2019, Central Time",557821,555559,569075,-11254
SOCO,"3/15/2019, Central Time",535739,527451,547944,-12205
SOCO,"3/16/2019, Central Time",542288,524102,546116,-3828
SOCO,"3/17/2019, Central Time",546318,527180,554081,-7763
SOCO,"3/18/2019, Central Time",594294,564698,596109,-1815
SOCO,"3/19/2019, Central Time",613259,597790,617459,-4200
SOCO,"3/20/2019, Central Time",608353,578131,614017,-5664
SOCO,"3/21/2019, Central Time",584318,565665,594730,-10412
SOCO,"3/22/2019, Central Time",573444,549904,588607,-15163
SOCO,"3/23/2019, Central Time",529773,511641,549559,-19786
SOCO,"3/24/2019, Central Time",508877,496430,531080,-22203
SOCO,"3/25/2019, Central Time",536367,531114,552970,-16603
SOCO,"3/26/2019, Central Time",544033,534945,561629,-17596
SOCO,"3/27/2019, Central Time",557428,540987,562282,-4854
SOCO,"3/28/2019, Central Time",567930,545936,566652,1278
SOCO,"3/29/2019, Central Time",543841,529859,547897,-4056
SOCO,"3/30/2019, Central Time",496857,490772,514110,-17253
SOCO,"3/31/2019, Central Time",499573,486202,533136,-33563
SOCO,"4/1/2019, Central Time",581390,559569,611292,-29902
SOCO,"4/2/2019, Central Time",561500,546585,587370,-25870
SOCO,"4/3/2019, Central Time",537200,538420,563719,-26519
SOCO,"4/4/2019, Central Time",541281,530121,577145,-35864
SOCO,"4/5/2019, Central Time",531134,520712,567554,-36420
SOCO,"4/6/2019, Central Time",508242,494356,539737,-31495
SOCO,"4/7/2019, Central Time",523828,504004,554647,-30819
SOCO,"4/8/2019, Central Time",560626,556534,587202,-26576
SOCO,"4/9/2019, Central Time",560347,555198,592342,-31995
SOCO,"4/10/2019, Central Time",581912,564902,609199,-27287
SOCO,"4/11/2019, Central Time",590290,564856,618559,-28269
SOCO,"4/12/2019, Central Time",588197,573876,617569,-29372
SOCO,"4/13/2019, Central Time",558045,539203,586530,-28485
SOCO,"4/14/2019, Central Time",537389,510300,570826,-33437
SOCO,"4/15/2019, Central Time",529795,506471,560035,-30240
SOCO,"4/16/2019, Central Time",550502,535749,575192,-24690
SOCO,"4/17/2019, Central Time",564846,545047,578328,-13482
SOCO,"4/18/2019, Central Time",579691,567658,587233,-7542
SOCO,"4/19/2019, Central Time",526941,521865,537590,-10649
SOCO,"4/20/2019, Central Time",505991,489580,507372,-1381
SOCO,"4/21/2019, Central Time",489905,488418,489836,69
SOCO,"4/22/2019, Central Time",549059,525842,555500,-6441
SOCO,"4/23/2019, Central Time",570809,549895,581536,-10727
SOCO,"4/24/2019, Central Time",594972,573915,620672,-25700
SOCO,"4/25/2019, Central Time",567393,564967,594412,-27019
SOCO,"4/26/2019, Central Time",548051,527996,578912,-30861
SOCO,"4/27/2019, Central Time",509883,488856,529330,-19447
SOCO,"4/28/2019, Central Time",535322,496148,557376,-22054
SOCO,"4/29/2019, Central Time",615283,593012,640582,-25299
SOCO,"4/30/2019, Central Time",645863,621880,674783,-28920
SOCO,"5/1/2019, Central Time",656287,635933,679267,-22980
SOCO,"5/2/2019, Central Time",660576,637016,679738,-19162
SOCO,"5/3/2019, Central Time",652837,628349,676959,-24122
SOCO,"5/4/2019, Central Time",597120,583783,602101,-4981
SOCO,"5/5/2019, Central Time",562423,539397,572064,-9641
SOCO,"5/6/2019, Central Time",610510,584084,627855,-17345
SOCO,"5/7/2019, Central Time",642506,619136,658767,-16261
SOCO,"5/8/2019, Central Time",669172,642523,684334,-15162
SOCO,"5/9/2019, Central Time",641362,653494,656764,-15402
SOCO,"5/10/2019, Central Time",639469,617948,670575,-31106
SOCO,"5/11/2019, Central Time",598583,585381,612399,-13816
SOCO,"5/12/2019, Central Time",548827,543762,566261,-17434
SOCO,"5/13/2019, Central Time",596529,559818,610409,-13880
SOCO,"5/14/2019, Central Time",567642,545596,580150,-12508
SOCO,"5/15/2019, Central Time",580053,565726,599356,-19303
SOCO,"5/16/2019, Central Time",642295,607568,649178,-6883
SOCO,"5/17/2019, Central Time",676073,649239,675460,613
SOCO,"5/18/2019, Central Time",668959,631545,670948,-1989
SOCO,"5/19/2019, Central Time",650312,643115,661613,-11301
SOCO,"5/20/2019, Central Time",713758,692631,731117,-17359
SOCO,"5/21/2019, Central Time",734645,716743,747175,-12530
SOCO,"5/22/2019, Central Time",761445,740991,772742,-11297
SOCO,"5/23/2019, Central Time",771686,741632,785461,-13775
SOCO,"5/24/2019, Central Time",776772,755098,786023,-9251
SOCO,"5/25/2019, Central Time",748827,713748,754185,-5358
SOCO,"5/26/2019, Central Time",740677,719660,754070,-13393
SOCO,"5/27/2019, Central Time",745193,715567,763558,-18365
SOCO,"5/28/2019, Central Time",795599,760288,812266,-16667
SOCO,"5/29/2019, Central Time",797925,769987,821880,-23955
SOCO,"5/30/2019, Central Time",795958,763014,830420,-34462
SOCO,"5/31/2019, Central Time",769684,753106,800484,-30800
SOCO,"6/1/2019, Central Time",700353,677248,715091,-14738
SOCO,"6/2/2019, Central Time",691222,671339,701000,-9778
SOCO,"6/3/2019, Central Time",761350,719677,768979,-7629
SOCO,"6/4/2019, Central Time",749783,733263,760705,-10922
SOCO,"6/5/2019, Central Time",715593,723678,741544,-25951
SOCO,"6/6/2019, Central Time",665382,640302,707049,-41667
SOCO,"6/7/2019, Central Time",690189,667513,723420,-33231
SOCO,"6/8/2019, Central Time",622547,614191,650942,-28395
SOCO,"6/9/2019, Central Time",628027,600407,652920,-24893
SOCO,"6/10/2019, Central Time",700940,662626,728237,-27297
SOCO,"6/11/2019, Central Time",701822,692731,713507,-11685
SOCO,"6/12/2019, Central Time",645811,638400,656828,-11017
SOCO,"6/13/2019, Central Time",646517,612348,669310,-22793
SOCO,"6/14/2019, Central Time",625329,612746,653727,-28398
SOCO,"6/15/2019, Central Time",650745,615581,671075,-20330
SOCO,"6/16/2019, Central Time",705770,667544,715611,-9841
SOCO,"6/17/2019, Central Time",775068,745613,775980,-912
SOCO,"6/18/2019, Central Time",720878,706742,730909,-10031
SOCO,"6/19/2019, Central Time",754409,729341,762829,-8420
SOCO,"6/20/2019, Central Time",769882,742034,784249,-14366
SOCO,"6/21/2019, Central Time",802710,766228,811475,-8765
SOCO,"6/22/2019, Central Time",754844,734061,761413,-6569
SOCO,"6/23/2019, Central Time",714929,712968,731084,-16155
SOCO,"6/24/2019, Central Time",773342,751392,789793,-16451
SOCO,"6/25/2019, Central Time",769931,751818,792056,-22125
SOCO,"6/26/2019, Central Time",752279,753741,777627,-25348
