"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"1/1/2025 12 a.m. CST",21136,20886,21958,822
SOCO,"1/1/2025 1 a.m. CST",21630,20695,22429,799
SOCO,"1/1/2025 2 a.m. CST",21582,20608,22430,848
SOCO,"1/1/2025 3 a.m. CST",21305,20711,22152,847
SOCO,"1/1/2025 4 a.m. CST",21641,21081,22400,759
SOCO,"1/1/2025 5 a.m. CST",22018,21803,22754,736
SOCO,"1/1/2025 6 a.m. CST",22906,22726,23765,859
SOCO,"1/1/2025 7 a.m. CST",23794,23651,24760,966
SOCO,"1/1/2025 8 a.m. CST",24600,24338,25445,845
SOCO,"1/1/2025 9 a.m. CST",24857,24568,25938,1081
SOCO,"1/1/2025 10 a.m. CST",24847,24564,25867,1020
SOCO,"1/1/2025 11 a.m. CST",24617,24300,25415,798
SOCO,"1/1/2025 12 p.m. CST",24423,23753,25113,690
SOCO,"1/1/2025 1 p.m. CST",23698,23040,24577,879
SOCO,"1/1/2025 2 p.m. CST",23185,22549,24356,1171
SOCO,"1/1/2025 3 p.m. CST",22984,22342,24194,1210
SOCO,"1/1/2025 4 p.m. CST",23047,22613,24355,1308
SOCO,"1/1/2025 5 p.m. CST",24027,23811,24857,830
SOCO,"1/1/2025 6 p.m. CST",25664,25443,26508,844
SOCO,"1/1/2025 7 p.m. CST",26202,25958,26987,785
SOCO,"1/1/2025 8 p.m. CST",26543,26301,27390,847
SOCO,"1/1/2025 9 p.m. CST",26481,26261,27437,956
SOCO,"1/1/2025 10 p.m. CST",26144,25932,26946,802
SOCO,"1/1/2025 11 p.m. CST",25638,25421,26550,912
SOCO,"1/2/2025 12 a.m. CST",25835,25228,26611,776
SOCO,"1/2/2025 1 a.m. CST",26591,25357,27314,723
SOCO,"1/2/2025 2 a.m. CST",26952,25644,27762,810
SOCO,"1/2/2025 3 a.m. CST",27290,26347,27902,612
SOCO,"1/2/2025 4 a.m. CST",27860,27370,28306,446
SOCO,"1/2/2025 5 a.m. CST",29208,28991,30192,984
SOCO,"1/2/2025 6 a.m. CST",31518,31286,32577,1059
SOCO,"1/2/2025 7 a.m. CST",33588,33369,34604,1016
SOCO,"1/2/2025 8 a.m. CST",34361,34144,35592,1231
SOCO,"1/2/2025 9 a.m. CST",33302,32952,35070,1768
SOCO,"1/2/2025 10 a.m. CST",31857,31389,33160,1303
SOCO,"1/2/2025 11 a.m. CST",30273,29788,31255,982
SOCO,"1/2/2025 12 p.m. CST",29263,28442,30475,1212
SOCO,"1/2/2025 1 p.m. CST",28462,27215,29262,800
SOCO,"1/2/2025 2 p.m. CST",27577,26329,28615,1038
SOCO,"1/2/2025 3 p.m. CST",27013,25795,28031,1018
SOCO,"1/2/2025 4 p.m. CST",26646,25873,27540,894
SOCO,"1/2/2025 5 p.m. CST",27533,27234,28024,491
SOCO,"1/2/2025 6 p.m. CST",29458,29277,30460,1002
SOCO,"1/2/2025 7 p.m. CST",30150,29956,31134,984
SOCO,"1/2/2025 8 p.m. CST",30749,30509,31404,655
SOCO,"1/2/2025 9 p.m. CST",30612,30400,31334,722
SOCO,"1/2/2025 10 p.m. CST",29932,29656,30495,563
SOCO,"1/2/2025 11 p.m. CST",29359,29090,29838,479
SOCO,"1/3/2025 12 a.m. CST",29412,28763,29994,582
SOCO,"1/3/2025 1 a.m. CST",29238,28604,29836,598
SOCO,"1/3/2025 2 a.m. CST",29209,28587,29775,566
SOCO,"1/3/2025 3 a.m. CST",29536,28904,29916,380
SOCO,"1/3/2025 4 a.m. CST",30141,29525,30110,-31
SOCO,"1/3/2025 5 a.m. CST",31045,30818,31175,130
SOCO,"1/3/2025 6 a.m. CST",32787,32492,32951,164
SOCO,"1/3/2025 7 a.m. CST",34313,34095,34609,296
SOCO,"1/3/2025 8 a.m. CST",34681,34471,35451,770
SOCO,"1/3/2025 9 a.m. CST",33062,32825,33606,544
SOCO,"1/3/2025 10 a.m. CST",31088,30656,31317,229
SOCO,"1/3/2025 11 a.m. CST",29514,29039,30050,536
SOCO,"1/3/2025 12 p.m. CST",28354,27617,29049,695
SOCO,"1/3/2025 1 p.m. CST",27817,26622,28423,606
SOCO,"1/3/2025 2 p.m. CST",27213,26043,27781,568
SOCO,"1/3/2025 3 p.m. CST",26766,25576,27221,455
SOCO,"1/3/2025 4 p.m. CST",26545,25719,26829,284
SOCO,"1/3/2025 5 p.m. CST",27528,26971,27691,163
SOCO,"1/3/2025 6 p.m. CST",28727,28489,29122,395
SOCO,"1/3/2025 7 p.m. CST",29095,28848,29795,700
SOCO,"1/3/2025 8 p.m. CST",29294,29058,29939,645
SOCO,"1/3/2025 9 p.m. CST",29187,28927,29745,558
SOCO,"1/3/2025 10 p.m. CST",28768,28507,29141,373
SOCO,"1/3/2025 11 p.m. CST",28644,27983,28809,165
SOCO,"1/4/2025 12 a.m. CST",28183,27533,28430,247
SOCO,"1/4/2025 1 a.m. CST",28007,27370,28539,532
SOCO,"1/4/2025 2 a.m. CST",28163,27513,28950,787
SOCO,"1/4/2025 3 a.m. CST",28360,27766,29088,728
SOCO,"1/4/2025 4 a.m. CST",28871,28265,29547,676
SOCO,"1/4/2025 5 a.m. CST",29748,29256,30555,807
SOCO,"1/4/2025 6 a.m. CST",30721,30466,31550,829
SOCO,"1/4/2025 7 a.m. CST",32038,31775,32902,864
SOCO,"1/4/2025 8 a.m. CST",32942,32666,33845,903
SOCO,"1/4/2025 9 a.m. CST",32250,31935,33007,757
SOCO,"1/4/2025 10 a.m. CST",30935,30614,31425,490
SOCO,"1/4/2025 11 a.m. CST",29718,29315,30034,316
SOCO,"1/4/2025 12 p.m. CST",28730,28071,29095,365
SOCO,"1/4/2025 1 p.m. CST",27842,26983,28196,354
SOCO,"1/4/2025 2 p.m. CST",27154,26125,27616,462
SOCO,"1/4/2025 3 p.m. CST",26758,25648,27422,664
SOCO,"1/4/2025 4 p.m. CST",26498,25750,27181,683
SOCO,"1/4/2025 5 p.m. CST",27605,27023,28108,503
SOCO,"1/4/2025 6 p.m. CST",29334,28949,29878,544
SOCO,"1/4/2025 7 p.m. CST",30034,29658,30594,560
SOCO,"1/4/2025 8 p.m. CST",30344,29962,30833,489
SOCO,"1/4/2025 9 p.m. CST",30361,29976,30755,394
SOCO,"1/4/2025 10 p.m. CST",29750,29536,30370,620
SOCO,"1/4/2025 11 p.m. CST",29168,28946,29453,285
SOCO,"1/5/2025 12 a.m. CST",28663,28472,28956,293
SOCO,"1/5/2025 1 a.m. CST",28732,28102,28927,195
SOCO,"1/5/2025 2 a.m. CST",28550,27907,28898,348
SOCO,"1/5/2025 3 a.m. CST",28465,27794,28769,304
SOCO,"1/5/2025 4 a.m. CST",28139,27879,28307,168
SOCO,"1/5/2025 5 a.m. CST",28196,28042,28350,154
SOCO,"1/5/2025 6 a.m. CST",28544,28399,28910,366
SOCO,"1/5/2025 7 a.m. CST",29212,29058,29796,584
SOCO,"1/5/2025 8 a.m. CST",29633,29438,30333,700
SOCO,"1/5/2025 9 a.m. CST",29354,29151,29947,593
SOCO,"1/5/2025 10 a.m. CST",28621,28376,28707,86
SOCO,"1/5/2025 11 a.m. CST",27635,27383,27941,306
SOCO,"1/5/2025 12 p.m. CST",27301,26726,27783,482
SOCO,"1/5/2025 1 p.m. CST",27102,26326,27523,421
SOCO,"1/5/2025 2 p.m. CST",27137,26189,27764,627
SOCO,"1/5/2025 3 p.m. CST",26898,26051,27755,857
SOCO,"1/5/2025 4 p.m. CST",26862,26280,27729,867
SOCO,"1/5/2025 5 p.m. CST",27314,27096,28252,938
SOCO,"1/5/2025 6 p.m. CST",28216,28009,29149,933
SOCO,"1/5/2025 7 p.m. CST",28289,28088,29209,920
SOCO,"1/5/2025 8 p.m. CST",27788,27574,28683,895
SOCO,"1/5/2025 9 p.m. CST",26914,26712,27709,795
SOCO,"1/5/2025 10 p.m. CST",25620,25462,26466,846
SOCO,"1/5/2025 11 p.m. CST",24757,24267,25465,708
SOCO,"1/6/2025 12 a.m. CST",24011,23209,24870,859
SOCO,"1/6/2025 1 a.m. CST",22654,22487,23662,1008
SOCO,"1/6/2025 2 a.m. CST",22251,22117,23424,1173
SOCO,"1/6/2025 3 a.m. CST",22237,22101,23385,1148
SOCO,"1/6/2025 4 a.m. CST",22533,22388,23350,817
SOCO,"1/6/2025 5 a.m. CST",23649,23499,24576,927
SOCO,"1/6/2025 6 a.m. CST",25439,25289,26637,1198
SOCO,"1/6/2025 7 a.m. CST",27258,27047,28479,1221
SOCO,"1/6/2025 8 a.m. CST",28181,27981,29357,1176
SOCO,"1/6/2025 9 a.m. CST",28981,28792,30311,1330
SOCO,"1/6/2025 10 a.m. CST",29532,29211,30596,1064
SOCO,"1/6/2025 11 a.m. CST",30108,29782,31146,1038
SOCO,"1/6/2025 12 p.m. CST",30372,30029,31462,1090
SOCO,"1/6/2025 1 p.m. CST",30986,30633,32026,1040
SOCO,"1/6/2025 2 p.m. CST",31542,31186,32579,1037
SOCO,"1/6/2025 3 p.m. CST",32169,31796,33245,1076
