"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"2/1/2024 12 a.m. CST",27321,26828,27687,366
SOCO,"2/1/2024 1 a.m. CST",27801,26895,27899,98
SOCO,"2/1/2024 2 a.m. CST",28216,27330,28294,78
SOCO,"2/1/2024 3 a.m. CST",28666,27990,28727,61
SOCO,"2/1/2024 4 a.m. CST",29238,29068,29358,120
SOCO,"2/1/2024 5 a.m. CST",31210,31037,31137,-73
SOCO,"2/1/2024 6 a.m. CST",33838,33635,34046,208
SOCO,"2/1/2024 7 a.m. CST",35691,35539,35975,284
SOCO,"2/1/2024 8 a.m. CST",35251,35173,35626,375
SOCO,"2/1/2024 9 a.m. CST",32808,32744,33326,518
SOCO,"2/1/2024 10 a.m. CST",30199,30204,30926,727
SOCO,"2/1/2024 11 a.m. CST",28340,28141,29508,1168
SOCO,"2/1/2024 12 p.m. CST",27490,26732,28405,915
SOCO,"2/1/2024 1 p.m. CST",26347,25565,27344,997
SOCO,"2/1/2024 2 p.m. CST",25794,24837,26746,952
SOCO,"2/1/2024 3 p.m. CST",25340,24276,25646,306
SOCO,"2/1/2024 4 p.m. CST",24468,24098,24843,375
SOCO,"2/1/2024 5 p.m. CST",24876,24771,25165,289
SOCO,"2/1/2024 6 p.m. CST",26638,26499,26995,357
SOCO,"2/1/2024 7 p.m. CST",27743,27588,28004,261
SOCO,"2/1/2024 8 p.m. CST",27902,27730,28167,265
SOCO,"2/1/2024 9 p.m. CST",27592,27417,27869,277
SOCO,"2/1/2024 10 p.m. CST",26732,26595,26898,166
SOCO,"2/1/2024 11 p.m. CST",26015,25810,25937,-78
SOCO,"2/2/2024 12 a.m. CST",25132,25026,25124,-8
SOCO,"2/2/2024 1 a.m. CST",24935,24529,24992,57
SOCO,"2/2/2024 2 a.m. CST",24628,24589,24717,89
SOCO,"2/2/2024 3 a.m. CST",24846,24821,25122,276
SOCO,"2/2/2024 4 a.m. CST",25478,25491,25812,334
SOCO,"2/2/2024 5 a.m. CST",26966,26981,27541,575
SOCO,"2/2/2024 6 a.m. CST",29220,29226,29541,321
SOCO,"2/2/2024 7 a.m. CST",30991,30990,31181,190
SOCO,"2/2/2024 8 a.m. CST",30874,30852,31469,595
SOCO,"2/2/2024 9 a.m. CST",29255,29193,30045,790
SOCO,"2/2/2024 10 a.m. CST",27383,27405,27754,371
SOCO,"2/2/2024 11 a.m. CST",25953,25803,26379,426
SOCO,"2/2/2024 12 p.m. CST",25379,24646,25779,400
SOCO,"2/2/2024 1 p.m. CST",24621,23902,25338,717
SOCO,"2/2/2024 2 p.m. CST",24152,23316,25092,940
SOCO,"2/2/2024 3 p.m. CST",23972,22919,24948,976
SOCO,"2/2/2024 4 p.m. CST",23462,22843,24574,1112
SOCO,"2/2/2024 5 p.m. CST",23013,23048,23980,967
SOCO,"2/2/2024 6 p.m. CST",23921,23946,24920,999
SOCO,"2/2/2024 7 p.m. CST",24398,24393,25439,1041
SOCO,"2/2/2024 8 p.m. CST",24404,24326,25270,866
SOCO,"2/2/2024 9 p.m. CST",24200,24143,24733,533
SOCO,"2/2/2024 10 p.m. CST",23741,23689,24230,489
SOCO,"2/2/2024 11 p.m. CST",23090,23051,23757,667
SOCO,"2/3/2024 12 a.m. CST",22964,22572,23627,663
SOCO,"2/3/2024 1 a.m. CST",22739,22360,23530,791
SOCO,"2/3/2024 2 a.m. CST",22652,22277,23469,817
SOCO,"2/3/2024 3 a.m. CST",22855,22490,23675,820
SOCO,"2/3/2024 4 a.m. CST",23394,22991,24298,904
SOCO,"2/3/2024 5 a.m. CST",23728,23742,24647,919
SOCO,"2/3/2024 6 a.m. CST",24737,24737,25744,1007
SOCO,"2/3/2024 7 a.m. CST",25843,25844,26983,1140
SOCO,"2/3/2024 8 a.m. CST",26676,26680,27820,1144
SOCO,"2/3/2024 9 a.m. CST",26390,26399,27203,813
SOCO,"2/3/2024 10 a.m. CST",25434,25515,26211,777
SOCO,"2/3/2024 11 a.m. CST",24459,24456,25056,597
SOCO,"2/3/2024 12 p.m. CST",23854,23498,24608,754
SOCO,"2/3/2024 1 p.m. CST",23368,22699,24356,988
SOCO,"2/3/2024 2 p.m. CST",23355,22233,24490,1135
SOCO,"2/3/2024 3 p.m. CST",23082,21946,24001,919
SOCO,"2/3/2024 4 p.m. CST",22479,21930,23087,608
SOCO,"2/3/2024 5 p.m. CST",23013,22475,23641,628
SOCO,"2/3/2024 6 p.m. CST",24039,23788,24595,556
SOCO,"2/3/2024 7 p.m. CST",24284,24178,24861,577
