"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"12/1/2024 12 a.m. CST",28395,28040,29821,1426
SOCO,"12/1/2024 1 a.m. CST",28470,28209,29631,1161
SOCO,"12/1/2024 2 a.m. CST",28575,28289,29599,1024
SOCO,"12/1/2024 3 a.m. CST",28763,28478,29510,747
SOCO,"12/1/2024 4 a.m. CST",29163,28944,29927,764
SOCO,"12/1/2024 5 a.m. CST",29743,29614,30771,1028
SOCO,"12/1/2024 6 a.m. CST",30764,30625,31923,1159
SOCO,"12/1/2024 7 a.m. CST",31794,31642,33131,1337
SOCO,"12/1/2024 8 a.m. CST",32247,32007,33642,1395
SOCO,"12/1/2024 9 a.m. CST",30837,30507,32053,1216
SOCO,"12/1/2024 10 a.m. CST",29032,28502,30450,1418
SOCO,"12/1/2024 11 a.m. CST",27904,26853,29307,1403
SOCO,"12/1/2024 12 p.m. CST",26728,25696,28073,1345
SOCO,"12/1/2024 1 p.m. CST",26226,24738,27735,1509
SOCO,"12/1/2024 2 p.m. CST",25657,24138,27169,1512
SOCO,"12/1/2024 3 p.m. CST",25240,23925,26963,1723
SOCO,"12/1/2024 4 p.m. CST",25254,24485,27264,2010
SOCO,"12/1/2024 5 p.m. CST",26156,25897,28242,2086
SOCO,"12/1/2024 6 p.m. CST",27983,27756,30282,2299
SOCO,"12/1/2024 7 p.m. CST",28744,28478,30881,2137
SOCO,"12/1/2024 8 p.m. CST",29046,28796,31121,2075
SOCO,"12/1/2024 9 p.m. CST",28889,28619,30930,2041
SOCO,"12/1/2024 10 p.m. CST",28253,28011,30170,1917
SOCO,"12/1/2024 11 p.m. CST",27414,27143,29463,2049
SOCO,"12/2/2024 12 a.m. CST",27099,26790,29223,2124
SOCO,"12/2/2024 1 a.m. CST",26847,26724,28984,2137
SOCO,"12/2/2024 2 a.m. CST",27095,26987,29142,2047
SOCO,"12/2/2024 3 a.m. CST",27636,27508,29502,1866
SOCO,"12/2/2024 4 a.m. CST",28649,28382,30473,1824
SOCO,"12/2/2024 5 a.m. CST",30469,30252,32627,2158
SOCO,"12/2/2024 6 a.m. CST",33207,32978,35191,1984
SOCO,"12/2/2024 7 a.m. CST",35112,34984,37029,1917
SOCO,"12/2/2024 8 a.m. CST",34941,34631,37116,2175
SOCO,"12/2/2024 9 a.m. CST",33241,32894,35630,2389
SOCO,"12/2/2024 10 a.m. CST",31745,31299,33727,1982
SOCO,"12/2/2024 11 a.m. CST",30965,29846,32314,1349
SOCO,"12/2/2024 12 p.m. CST",29953,28668,31023,1070
SOCO,"12/2/2024 1 p.m. CST",28950,27689,30059,1109
SOCO,"12/2/2024 2 p.m. CST",28122,26986,29758,1636
SOCO,"12/2/2024 3 p.m. CST",27751,26640,29507,1756
SOCO,"12/2/2024 4 p.m. CST",28099,27166,30113,2014
SOCO,"12/2/2024 5 p.m. CST",28903,28747,31363,2460
SOCO,"12/2/2024 6 p.m. CST",30903,30779,33351,2448
SOCO,"12/2/2024 7 p.m. CST",31671,31535,33814,2143
SOCO,"12/2/2024 8 p.m. CST",32078,31937,33748,1670
SOCO,"12/2/2024 9 p.m. CST",31997,31591,33690,1693
SOCO,"12/2/2024 10 p.m. CST",31067,30587,32924,1857
SOCO,"12/2/2024 11 p.m. CST",29976,29502,31826,1850
SOCO,"12/3/2024 12 a.m. CST",29555,28876,30612,1057
SOCO,"12/3/2024 1 a.m. CST",29418,28548,30532,1114
SOCO,"12/3/2024 2 a.m. CST",29555,28681,30776,1221
SOCO,"12/3/2024 3 a.m. CST",29844,29041,30669,825
SOCO,"12/3/2024 4 a.m. CST",30078,29720,30621,543
SOCO,"12/3/2024 5 a.m. CST",31663,31300,32361,698
SOCO,"12/3/2024 6 a.m. CST",34106,33730,34829,723
SOCO,"12/3/2024 7 a.m. CST",35858,35522,36729,871
SOCO,"12/3/2024 8 a.m. CST",35543,35186,37125,1582
SOCO,"12/3/2024 9 a.m. CST",34252,33933,35778,1526
SOCO,"12/3/2024 10 a.m. CST",32836,32476,34105,1269
SOCO,"12/3/2024 11 a.m. CST",32012,31181,33189,1177
SOCO,"12/3/2024 12 p.m. CST",31217,30035,32160,943
SOCO,"12/3/2024 1 p.m. CST",30294,29144,30966,672
SOCO,"12/3/2024 2 p.m. CST",29679,28506,30566,887
SOCO,"12/3/2024 3 p.m. CST",29062,28240,29881,819
SOCO,"12/3/2024 4 p.m. CST",29697,28918,30658,961
SOCO,"12/3/2024 5 p.m. CST",31224,30930,31652,428
SOCO,"12/3/2024 6 p.m. CST",33396,33160,33583,187
SOCO,"12/3/2024 7 p.m. CST",34319,34036,34748,429
SOCO,"12/3/2024 8 p.m. CST",34891,34596,35065,174
SOCO,"12/3/2024 9 p.m. CST",34854,34595,35250,396
SOCO,"12/3/2024 10 p.m. CST",34030,33720,34524,494
SOCO,"12/3/2024 11 p.m. CST",33523,32946,34079,556
SOCO,"12/4/2024 12 a.m. CST",33143,32595,33789,646
SOCO,"12/4/2024 1 a.m. CST",33516,32618,33912,396
SOCO,"12/4/2024 2 a.m. CST",33958,32902,34267,309
SOCO,"12/4/2024 3 a.m. CST",34387,33410,34319,-68
SOCO,"12/4/2024 4 a.m. CST",34685,34327,34751,66
SOCO,"12/4/2024 5 a.m. CST",36150,35813,36482,332
SOCO,"12/4/2024 6 a.m. CST",38688,38311,38573,-115
SOCO,"12/4/2024 7 a.m. CST",40210,39875,40384,174
SOCO,"12/4/2024 8 a.m. CST",39502,39102,39941,439
SOCO,"12/4/2024 9 a.m. CST",36710,36415,37659,949
SOCO,"12/4/2024 10 a.m. CST",33884,33616,35204,1320
SOCO,"12/4/2024 11 a.m. CST",32018,31335,33439,1421
SOCO,"12/4/2024 12 p.m. CST",30828,29629,32172,1344
SOCO,"12/4/2024 1 p.m. CST",29742,28564,31207,1465
SOCO,"12/4/2024 2 p.m. CST",28914,27747,30380,1466
SOCO,"12/4/2024 3 p.m. CST",28290,27328,29772,1482
SOCO,"12/4/2024 4 p.m. CST",28351,27716,29500,1149
SOCO,"12/4/2024 5 p.m. CST",29524,29225,30748,1224
SOCO,"12/4/2024 6 p.m. CST",30746,30452,32287,1541
SOCO,"12/4/2024 7 p.m. CST",30986,30649,32740,1754
SOCO,"12/4/2024 8 p.m. CST",30705,30333,32504,1799
SOCO,"12/4/2024 9 p.m. CST",29813,29457,31556,1743
SOCO,"12/4/2024 10 p.m. CST",28487,28137,30038,1551
SOCO,"12/4/2024 11 p.m. CST",27326,26689,28814,1488
