"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"9/1/2024 12 a.m. CDT",27250,25664,28798,1548
SOCO,"9/1/2024 1 a.m. CDT",25764,25172,27211,1447
SOCO,"9/1/2024 2 a.m. CDT",24829,24024,26208,1379
SOCO,"9/1/2024 3 a.m. CDT",24228,23079,25692,1464
SOCO,"9/1/2024 4 a.m. CDT",23810,22550,25199,1389
SOCO,"9/1/2024 5 a.m. CDT",23392,22197,24789,1397
SOCO,"9/1/2024 6 a.m. CDT",23331,22232,24834,1503
SOCO,"9/1/2024 7 a.m. CDT",23009,22435,24822,1813
SOCO,"9/1/2024 8 a.m. CDT",24403,23826,26381,1978
SOCO,"9/1/2024 9 a.m. CDT",26719,26104,28647,1928
SOCO,"9/1/2024 10 a.m. CDT",29341,28676,31163,1822
SOCO,"9/1/2024 11 a.m. CDT",31910,31271,33810,1900
SOCO,"9/1/2024 12 p.m. CDT",34703,34079,36383,1680
SOCO,"9/1/2024 1 p.m. CDT",36759,36435,38611,1852
SOCO,"9/1/2024 2 p.m. CDT",38104,37828,40190,2086
SOCO,"9/1/2024 3 p.m. CDT",38189,37887,39903,1714
SOCO,"9/1/2024 4 p.m. CDT",37924,37627,39191,1267
SOCO,"9/1/2024 5 p.m. CDT",37246,36943,38724,1478
SOCO,"9/1/2024 6 p.m. CDT",36002,35749,37628,1626
SOCO,"9/1/2024 7 p.m. CDT",34464,34231,36006,1542
SOCO,"9/1/2024 8 p.m. CDT",33320,33114,35013,1693
SOCO,"9/1/2024 9 p.m. CDT",31741,31553,33791,2050
SOCO,"9/1/2024 10 p.m. CDT",29933,29644,31816,1883
SOCO,"9/1/2024 11 p.m. CDT",28128,27691,29328,1200
SOCO,"9/2/2024 12 a.m. CDT",26412,25954,27679,1267
SOCO,"9/2/2024 1 a.m. CDT",25258,24396,26487,1229
SOCO,"9/2/2024 2 a.m. CDT",24535,23289,25871,1336
SOCO,"9/2/2024 3 a.m. CDT",23804,22567,25128,1324
SOCO,"9/2/2024 4 a.m. CDT",23423,22210,24841,1418
SOCO,"9/2/2024 5 a.m. CDT",23324,22112,24765,1441
SOCO,"9/2/2024 6 a.m. CDT",23493,22336,24866,1373
SOCO,"9/2/2024 7 a.m. CDT",23130,22336,24733,1603
SOCO,"9/2/2024 8 a.m. CDT",24252,23407,25907,1655
SOCO,"9/2/2024 9 a.m. CDT",25942,25722,28329,2387
SOCO,"9/2/2024 10 a.m. CDT",28848,28589,30913,2065
SOCO,"9/2/2024 11 a.m. CDT",31856,31525,33855,1999
SOCO,"9/2/2024 12 p.m. CDT",34574,34252,36587,2013
SOCO,"9/2/2024 1 p.m. CDT",36908,36571,38542,1634
SOCO,"9/2/2024 2 p.m. CDT",38559,38186,39923,1364
SOCO,"9/2/2024 3 p.m. CDT",39737,39349,41658,1921
SOCO,"9/2/2024 4 p.m. CDT",40498,40151,42137,1639
SOCO,"9/2/2024 5 p.m. CDT",40601,40321,42185,1584
SOCO,"9/2/2024 6 p.m. CDT",39897,39637,41429,1532
SOCO,"9/2/2024 7 p.m. CDT",38293,38108,39678,1385
SOCO,"9/2/2024 8 p.m. CDT",36894,36608,38174,1280
SOCO,"9/2/2024 9 p.m. CDT",34915,34622,36186,1271
SOCO,"9/2/2024 10 p.m. CDT",32386,32015,33776,1390
SOCO,"9/2/2024 11 p.m. CDT",30096,29555,31147,1051
SOCO,"9/3/2024 12 a.m. CDT",27982,27476,29069,1087
SOCO,"9/3/2024 1 a.m. CDT",27123,25865,28208,1085
SOCO,"9/3/2024 2 a.m. CDT",26303,24753,27377,1074
SOCO,"9/3/2024 3 a.m. CDT",25720,24019,26787,1067
SOCO,"9/3/2024 4 a.m. CDT",25501,23829,26600,1099
SOCO,"9/3/2024 5 a.m. CDT",25547,24343,26577,1030
SOCO,"9/3/2024 6 a.m. CDT",27084,25874,28009,925
SOCO,"9/3/2024 7 a.m. CDT",27605,26984,28964,1359
SOCO,"9/3/2024 8 a.m. CDT",28192,27694,29833,1641
SOCO,"9/3/2024 9 a.m. CDT",29333,28836,31114,1781
SOCO,"9/3/2024 10 a.m. CDT",30736,30191,32382,1646
SOCO,"9/3/2024 11 a.m. CDT",31923,31625,34068,2145
SOCO,"9/3/2024 12 p.m. CDT",33373,33069,35403,2030
SOCO,"9/3/2024 1 p.m. CDT",34957,34615,37002,2045
SOCO,"9/3/2024 2 p.m. CDT",36330,35975,38234,1904
SOCO,"9/3/2024 3 p.m. CDT",37363,37012,39119,1756
SOCO,"9/3/2024 4 p.m. CDT",38079,37800,39836,1757
SOCO,"9/3/2024 5 p.m. CDT",37992,37681,39605,1613
SOCO,"9/3/2024 6 p.m. CDT",36952,36685,38549,1597
SOCO,"9/3/2024 7 p.m. CDT",35609,35401,37298,1689
SOCO,"9/3/2024 8 p.m. CDT",34535,34282,36212,1677
SOCO,"9/3/2024 9 p.m. CDT",32848,32580,34618,1770
SOCO,"9/3/2024 10 p.m. CDT",30374,30087,32360,1986
SOCO,"9/3/2024 11 p.m. CDT",28314,27788,29597,1283
SOCO,"9/4/2024 12 a.m. CDT",26450,25924,27533,1083
SOCO,"9/4/2024 1 a.m. CDT",25670,24484,26625,955
SOCO,"9/4/2024 2 a.m. CDT",24854,23556,25967,1113
SOCO,"9/4/2024 3 a.m. CDT",24456,22756,25660,1204
SOCO,"9/4/2024 4 a.m. CDT",24191,22513,25491,1300
SOCO,"9/4/2024 5 a.m. CDT",24565,22954,25884,1319
SOCO,"9/4/2024 6 a.m. CDT",25485,24145,26746,1261
SOCO,"9/4/2024 7 a.m. CDT",25408,24882,27278,1870
SOCO,"9/4/2024 8 a.m. CDT",25641,25404,27779,2138
SOCO,"9/4/2024 9 a.m. CDT",26651,26389,29022,2371
SOCO,"9/4/2024 10 a.m. CDT",27757,27503,30093,2336
SOCO,"9/4/2024 11 a.m. CDT",29113,28809,31048,1935
SOCO,"9/4/2024 12 p.m. CDT",30570,30248,32469,1899
SOCO,"9/4/2024 1 p.m. CDT",32215,31907,34198,1983
SOCO,"9/4/2024 2 p.m. CDT",33127,33227,35077,1950
SOCO,"9/4/2024 3 p.m. CDT",35122,34440,37284,2162
SOCO,"9/4/2024 4 p.m. CDT",35441,35329,37980,2539
SOCO,"9/4/2024 5 p.m. CDT",35436,35493,37869,2433
SOCO,"9/4/2024 6 p.m. CDT",34958,34574,37383,2425
SOCO,"9/4/2024 7 p.m. CDT",33490,33379,35742,2252
SOCO,"9/4/2024 8 p.m. CDT",32893,32649,34959,2066
SOCO,"9/4/2024 9 p.m. CDT",31503,31250,33502,1999
SOCO,"9/4/2024 10 p.m. CDT",29060,29142,30892,1832
SOCO,"9/4/2024 11 p.m. CDT",28038,27197,29181,1143
SOCO,"9/5/2024 12 a.m. CDT",26351,25485,27578,1227
SOCO,"9/5/2024 1 a.m. CDT",25366,24188,26501,1135
SOCO,"9/5/2024 2 a.m. CDT",24542,23334,26029,1487
SOCO,"9/5/2024 3 a.m. CDT",24399,22831,25775,1376
SOCO,"9/5/2024 4 a.m. CDT",24329,22778,25766,1437
SOCO,"9/5/2024 5 a.m. CDT",24630,23309,25860,1230
SOCO,"9/5/2024 6 a.m. CDT",25518,24632,26497,979
SOCO,"9/5/2024 7 a.m. CDT",25853,25637,27495,1642
SOCO,"9/5/2024 8 a.m. CDT",26416,26170,28225,1809
SOCO,"9/5/2024 9 a.m. CDT",27302,27033,29073,1771
SOCO,"9/5/2024 10 a.m. CDT",28487,28231,30263,1776
SOCO,"9/5/2024 11 a.m. CDT",29863,29579,31994,2131
SOCO,"9/5/2024 12 p.m. CDT",31358,31070,33656,2298
SOCO,"9/5/2024 1 p.m. CDT",32863,32572,35474,2611
SOCO,"9/5/2024 2 p.m. CDT",33801,33537,36531,2730
SOCO,"9/5/2024 3 p.m. CDT",34501,34207,37416,2915
SOCO,"9/5/2024 4 p.m. CDT",34863,34689,37927,3064
SOCO,"9/5/2024 5 p.m. CDT",34851,34663,37990,3139
SOCO,"9/5/2024 6 p.m. CDT",34189,34000,37472,3283
SOCO,"9/5/2024 7 p.m. CDT",33277,33086,36537,3260
SOCO,"9/5/2024 8 p.m. CDT",32919,32655,35705,2786
SOCO,"9/5/2024 9 p.m. CDT",31477,31223,34364,2887
SOCO,"9/5/2024 10 p.m. CDT",29626,29355,32277,2651
SOCO,"9/5/2024 11 p.m. CDT",27488,27252,29399,1911
SOCO,"9/6/2024 12 a.m. CDT",26184,25581,27173,989
SOCO,"9/6/2024 1 a.m. CDT",25325,24232,26282,957
SOCO,"9/6/2024 2 a.m. CDT",24510,23371,25630,1120
SOCO,"9/6/2024 3 a.m. CDT",24204,22698,25285,1081
SOCO,"9/6/2024 4 a.m. CDT",24064,22552,25094,1030
SOCO,"9/6/2024 5 a.m. CDT",24544,23031,25519,975
SOCO,"9/6/2024 6 a.m. CDT",25621,24339,26398,777
SOCO,"9/6/2024 7 a.m. CDT",25756,25300,27290,1534
SOCO,"9/6/2024 8 a.m. CDT",26160,25743,27714,1554
SOCO,"9/6/2024 9 a.m. CDT",26704,26441,28242,1538
SOCO,"9/6/2024 10 a.m. CDT",27615,27325,29344,1729
SOCO,"9/6/2024 11 a.m. CDT",28536,28223,30342,1806
SOCO,"9/6/2024 12 p.m. CDT",29262,28967,31287,2025
SOCO,"9/6/2024 1 p.m. CDT",29961,29631,31988,2027
SOCO,"9/6/2024 2 p.m. CDT",30221,29935,32617,2396
SOCO,"9/6/2024 3 p.m. CDT",30114,29837,32823,2709
SOCO,"9/6/2024 4 p.m. CDT",29844,29634,32911,3067
SOCO,"9/6/2024 5 p.m. CDT",29295,29100,32667,3372
SOCO,"9/6/2024 6 p.m. CDT",28571,28390,31471,2900
SOCO,"9/6/2024 7 p.m. CDT",28057,27841,30690,2633
SOCO,"9/6/2024 8 p.m. CDT",28033,27756,30575,2542
SOCO,"9/6/2024 9 p.m. CDT",27259,26989,29669,2410
SOCO,"9/6/2024 10 p.m. CDT",26102,25848,28387,2285
SOCO,"9/6/2024 11 p.m. CDT",24802,24565,26498,1696
SOCO,"9/7/2024 12 a.m. CDT",23617,23314,25271,1654
SOCO,"9/7/2024 1 a.m. CDT",23152,22188,24396,1244
SOCO,"9/7/2024 2 a.m. CDT",22349,21375,23571,1222
SOCO,"9/7/2024 3 a.m. CDT",21813,20844,23014,1201
SOCO,"9/7/2024 4 a.m. CDT",21465,20518,22814,1349
SOCO,"9/7/2024 5 a.m. CDT",21575,20634,22910,1335
SOCO,"9/7/2024 6 a.m. CDT",21928,20989,23202,1274
SOCO,"9/7/2024 7 a.m. CDT",22287,21369,24023,1736
SOCO,"9/7/2024 8 a.m. CDT",22810,22216,24542,1732
SOCO,"9/7/2024 9 a.m. CDT",24144,23620,25956,1812
SOCO,"9/7/2024 10 a.m. CDT",25581,25308,27219,1638
SOCO,"9/7/2024 11 a.m. CDT",27267,27006,28978,1711
SOCO,"9/7/2024 12 p.m. CDT",28889,28591,30636,1747
SOCO,"9/7/2024 1 p.m. CDT",30601,30164,32159,1558
SOCO,"9/7/2024 2 p.m. CDT",31870,31431,33437,1567
SOCO,"9/7/2024 3 p.m. CDT",32790,32320,34567,1777
SOCO,"9/7/2024 4 p.m. CDT",33281,32852,34804,1523
