"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"3/1/2024 12 a.m. CST",23729,23448,24364,635
SOCO,"3/1/2024 1 a.m. CST",23702,22848,24062,360
SOCO,"3/1/2024 2 a.m. CST",23329,22390,23512,183
SOCO,"3/1/2024 3 a.m. CST",23267,22343,23448,181
SOCO,"3/1/2024 4 a.m. CST",23278,22751,23393,115
SOCO,"3/1/2024 5 a.m. CST",24239,23875,24507,268
SOCO,"3/1/2024 6 a.m. CST",25956,25790,26753,797
SOCO,"3/1/2024 7 a.m. CST",27677,27577,28380,703
SOCO,"3/1/2024 8 a.m. CST",28054,27981,28541,487
SOCO,"3/1/2024 9 a.m. CST",28392,28312,28547,155
SOCO,"3/1/2024 10 a.m. CST",28797,28681,28756,-41
SOCO,"3/1/2024 11 a.m. CST",28875,28706,28806,-69
SOCO,"3/1/2024 12 p.m. CST",28818,28586,28806,-12
SOCO,"3/1/2024 1 p.m. CST",28535,28408,28507,-28
SOCO,"3/1/2024 2 p.m. CST",28326,28214,28362,36
SOCO,"3/1/2024 3 p.m. CST",28180,28074,28396,216
SOCO,"3/1/2024 4 p.m. CST",28409,28129,28648,239
SOCO,"3/1/2024 5 p.m. CST",28707,28412,29120,413
SOCO,"3/1/2024 6 p.m. CST",29008,28662,29432,424
SOCO,"3/1/2024 7 p.m. CST",28998,28560,29183,185
SOCO,"3/1/2024 8 p.m. CST",28424,27988,28348,-76
SOCO,"3/1/2024 9 p.m. CST",27532,27100,27583,51
SOCO,"3/1/2024 10 p.m. CST",26292,25912,26223,-69
SOCO,"3/1/2024 11 p.m. CST",25015,24663,25210,195
SOCO,"3/2/2024 12 a.m. CST",24170,23468,24183,13
SOCO,"3/2/2024 1 a.m. CST",23242,22652,23040,-202
SOCO,"3/2/2024 2 a.m. CST",22757,22200,22664,-93
SOCO,"3/2/2024 3 a.m. CST",22822,21909,22865,43
SOCO,"3/2/2024 4 a.m. CST",22887,21959,23088,201
SOCO,"3/2/2024 5 a.m. CST",23126,22188,23555,429
SOCO,"3/2/2024 6 a.m. CST",23596,22781,23972,376
SOCO,"3/2/2024 7 a.m. CST",23626,23408,24148,522
SOCO,"3/2/2024 8 a.m. CST",24532,24314,24924,392
SOCO,"3/2/2024 9 a.m. CST",25129,24898,25624,495
SOCO,"3/2/2024 10 a.m. CST",25180,24948,25627,447
SOCO,"3/2/2024 11 a.m. CST",24713,24484,25316,603
SOCO,"3/2/2024 12 p.m. CST",24033,23807,24583,550
SOCO,"3/2/2024 1 p.m. CST",23240,22996,23753,513
SOCO,"3/2/2024 2 p.m. CST",23115,22349,23513,398
SOCO,"3/2/2024 3 p.m. CST",22977,22005,23427,450
SOCO,"3/2/2024 4 p.m. CST",22925,21934,23409,484
SOCO,"3/2/2024 5 p.m. CST",22638,22040,23168,530
SOCO,"3/2/2024 6 p.m. CST",23013,22642,23730,717
SOCO,"3/2/2024 7 p.m. CST",23748,23425,24489,741
SOCO,"3/2/2024 8 p.m. CST",23539,23171,24227,688
SOCO,"3/2/2024 9 p.m. CST",22995,22630,23531,536
SOCO,"3/2/2024 10 p.m. CST",22312,21965,22903,591
SOCO,"3/2/2024 11 p.m. CST",21548,21185,21719,171
SOCO,"3/3/2024 12 a.m. CST",20635,20297,20548,-87
SOCO,"3/3/2024 1 a.m. CST",20042,19624,19905,-137
SOCO,"3/3/2024 2 a.m. CST",19894,19221,19645,-249
SOCO,"3/3/2024 3 a.m. CST",19606,18920,19465,-141
SOCO,"3/3/2024 4 a.m. CST",19633,18929,19754,121
SOCO,"3/3/2024 5 a.m. CST",19813,19117,20028,215
SOCO,"3/3/2024 6 a.m. CST",20245,19580,20447,202
SOCO,"3/3/2024 7 a.m. CST",20974,20356,21446,472
SOCO,"3/3/2024 8 a.m. CST",21630,21352,22094,464
SOCO,"3/3/2024 9 a.m. CST",22242,22057,22805,563
SOCO,"3/3/2024 10 a.m. CST",22381,22240,22849,468
SOCO,"3/3/2024 11 a.m. CST",22175,22064,22714,539
SOCO,"3/3/2024 12 p.m. CST",22103,21996,22814,711
SOCO,"3/3/2024 1 p.m. CST",22108,21965,22878,770
SOCO,"3/3/2024 2 p.m. CST",22104,21948,23181,1077
SOCO,"3/3/2024 3 p.m. CST",22098,21930,23239,1141
