"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"10/1/2024 12 a.m. CDT",22377,21657,23514,1137
SOCO,"10/1/2024 1 a.m. CDT",21334,20381,22641,1307
SOCO,"10/1/2024 2 a.m. CDT",20576,19629,22167,1591
SOCO,"10/1/2024 3 a.m. CDT",20230,19289,21717,1487
SOCO,"10/1/2024 4 a.m. CDT",20085,19179,21686,1601
SOCO,"10/1/2024 5 a.m. CDT",20590,19810,22103,1513
SOCO,"10/1/2024 6 a.m. CDT",21749,21183,23165,1416
SOCO,"10/1/2024 7 a.m. CDT",23132,22580,24766,1634
SOCO,"10/1/2024 8 a.m. CDT",23584,23019,25757,2173
SOCO,"10/1/2024 9 a.m. CDT",24307,23841,26524,2217
SOCO,"10/1/2024 10 a.m. CDT",25100,24769,27333,2233
SOCO,"10/1/2024 11 a.m. CDT",26335,25996,28625,2290
SOCO,"10/1/2024 12 p.m. CDT",27644,27270,30352,2708
SOCO,"10/1/2024 1 p.m. CDT",28903,28546,31741,2838
SOCO,"10/1/2024 2 p.m. CDT",30301,29899,33238,2937
SOCO,"10/1/2024 3 p.m. CDT",31024,30647,33810,2786
SOCO,"10/1/2024 4 p.m. CDT",31417,31043,34397,2980
SOCO,"10/1/2024 5 p.m. CDT",31366,31012,34157,2791
SOCO,"10/1/2024 6 p.m. CDT",30810,30659,33489,2679
SOCO,"10/1/2024 7 p.m. CDT",30121,29981,32822,2701
SOCO,"10/1/2024 8 p.m. CDT",29455,29193,31999,2544
SOCO,"10/1/2024 9 p.m. CDT",27890,27489,30258,2368
SOCO,"10/1/2024 10 p.m. CDT",25948,25559,28403,2455
SOCO,"10/1/2024 11 p.m. CDT",24138,23776,26097,1959
SOCO,"10/2/2024 12 a.m. CDT",22717,21994,24253,1536
SOCO,"10/2/2024 1 a.m. CDT",21912,20804,23210,1298
SOCO,"10/2/2024 2 a.m. CDT",21107,19946,22318,1211
SOCO,"10/2/2024 3 a.m. CDT",20653,19483,21876,1223
SOCO,"10/2/2024 4 a.m. CDT",20572,19410,21888,1316
SOCO,"10/2/2024 5 a.m. CDT",20876,19983,22176,1300
SOCO,"10/2/2024 6 a.m. CDT",22091,21382,23539,1448
SOCO,"10/2/2024 7 a.m. CDT",22922,22413,24518,1596
SOCO,"10/2/2024 8 a.m. CDT",23559,22962,25225,1666
SOCO,"10/2/2024 9 a.m. CDT",24382,24097,26129,1747
SOCO,"10/2/2024 10 a.m. CDT",25991,25721,27539,1548
SOCO,"10/2/2024 11 a.m. CDT",27805,27481,29405,1600
SOCO,"10/2/2024 12 p.m. CDT",29636,29248,31080,1444
SOCO,"10/2/2024 1 p.m. CDT",31701,31308,33091,1390
SOCO,"10/2/2024 2 p.m. CDT",33030,32670,34177,1147
SOCO,"10/2/2024 3 p.m. CDT",34021,33643,34965,944
SOCO,"10/2/2024 4 p.m. CDT",34451,34096,35467,1016
SOCO,"10/2/2024 5 p.m. CDT",34150,33735,35225,1075
SOCO,"10/2/2024 6 p.m. CDT",32974,32639,34026,1052
SOCO,"10/2/2024 7 p.m. CDT",31777,31650,32869,1092
SOCO,"10/2/2024 8 p.m. CDT",30705,30457,31869,1164
SOCO,"10/2/2024 9 p.m. CDT",28957,28704,30283,1326
SOCO,"10/2/2024 10 p.m. CDT",26883,26633,27946,1063
SOCO,"10/2/2024 11 p.m. CDT",24645,24424,25046,401
SOCO,"10/3/2024 12 a.m. CDT",23263,22650,23862,599
SOCO,"10/3/2024 1 a.m. CDT",21834,21386,22728,894
SOCO,"10/3/2024 2 a.m. CDT",20869,20492,21796,927
SOCO,"10/3/2024 3 a.m. CDT",20460,20059,21372,912
SOCO,"10/3/2024 4 a.m. CDT",20407,20030,21390,983
SOCO,"10/3/2024 5 a.m. CDT",20981,20589,21972,991
SOCO,"10/3/2024 6 a.m. CDT",21918,21975,22961,1043
SOCO,"10/3/2024 7 a.m. CDT",22861,23167,24074,1213
SOCO,"10/3/2024 8 a.m. CDT",22898,23662,24534,1636
SOCO,"10/3/2024 9 a.m. CDT",23244,24859,25018,1774
SOCO,"10/3/2024 10 a.m. CDT",24339,26483,25851,1512
SOCO,"10/3/2024 11 a.m. CDT",25808,28387,26888,1080
SOCO,"10/3/2024 12 p.m. CDT",27684,30238,29014,1330
SOCO,"10/3/2024 1 p.m. CDT",29194,31755,30663,1469
SOCO,"10/3/2024 2 p.m. CDT",30384,32865,31497,1113
SOCO,"10/3/2024 3 p.m. CDT",31131,33512,32210,1079
SOCO,"10/3/2024 4 p.m. CDT",31335,33738,32468,1133
SOCO,"10/3/2024 5 p.m. CDT",31391,33274,32578,1187
SOCO,"10/3/2024 6 p.m. CDT",31143,32258,32071,928
SOCO,"10/3/2024 7 p.m. CDT",30745,31504,31606,861
SOCO,"10/3/2024 8 p.m. CDT",30306,30816,31023,717
SOCO,"10/3/2024 9 p.m. CDT",28816,29411,29677,861
SOCO,"10/3/2024 10 p.m. CDT",26891,27511,27938,1047
SOCO,"10/3/2024 11 p.m. CDT",24981,25630,25668,687
SOCO,"10/4/2024 12 a.m. CDT",23856,24051,24090,234
SOCO,"10/4/2024 1 a.m. CDT",23751,22713,23531,-220
SOCO,"10/4/2024 2 a.m. CDT",22910,21880,22948,38
SOCO,"10/4/2024 3 a.m. CDT",22375,21400,22528,153
SOCO,"10/4/2024 4 a.m. CDT",22330,21329,22587,257
SOCO,"10/4/2024 5 a.m. CDT",22647,21684,22857,210
SOCO,"10/4/2024 6 a.m. CDT",23753,22473,23857,104
SOCO,"10/4/2024 7 a.m. CDT",24905,23517,25733,828
SOCO,"10/4/2024 8 a.m. CDT",25054,24167,25975,921
SOCO,"10/4/2024 9 a.m. CDT",25768,25232,26609,841
SOCO,"10/4/2024 10 a.m. CDT",26655,26438,27591,936
SOCO,"10/4/2024 11 a.m. CDT",27523,27716,28342,819
SOCO,"10/4/2024 12 p.m. CDT",28709,28922,30353,1644
SOCO,"10/4/2024 1 p.m. CDT",29567,29845,31718,2151
SOCO,"10/4/2024 2 p.m. CDT",30033,30342,32224,2191
SOCO,"10/4/2024 3 p.m. CDT",30134,30626,32326,2192
SOCO,"10/4/2024 4 p.m. CDT",30217,30555,32305,2088
SOCO,"10/4/2024 5 p.m. CDT",29805,30129,31930,2125
SOCO,"10/4/2024 6 p.m. CDT",29101,29277,31176,2075
SOCO,"10/4/2024 7 p.m. CDT",28595,28071,30657,2062
SOCO,"10/4/2024 8 p.m. CDT",27902,26716,29892,1990
SOCO,"10/4/2024 9 p.m. CDT",26929,25802,28525,1596
SOCO,"10/4/2024 10 p.m. CDT",25631,24659,26958,1327
SOCO,"10/4/2024 11 p.m. CDT",24212,23436,24745,533
SOCO,"10/5/2024 12 a.m. CDT",22796,22186,23150,354
SOCO,"10/5/2024 1 a.m. CDT",22433,21520,23041,608
SOCO,"10/5/2024 2 a.m. CDT",21678,20670,22302,624
SOCO,"10/5/2024 3 a.m. CDT",21121,20082,21689,568
SOCO,"10/5/2024 4 a.m. CDT",20797,19793,21381,584
SOCO,"10/5/2024 5 a.m. CDT",20894,19879,21347,453
SOCO,"10/5/2024 6 a.m. CDT",21090,20083,21643,553
SOCO,"10/5/2024 7 a.m. CDT",21605,20761,22396,791
SOCO,"10/5/2024 8 a.m. CDT",21984,21504,23189,1205
SOCO,"10/5/2024 9 a.m. CDT",23473,22909,24418,945
SOCO,"10/5/2024 10 a.m. CDT",24634,24404,25244,610
SOCO,"10/5/2024 11 a.m. CDT",26423,26131,27093,670
SOCO,"10/5/2024 12 p.m. CDT",28299,27973,29145,846
SOCO,"10/5/2024 1 p.m. CDT",29945,29622,30896,951
SOCO,"10/5/2024 2 p.m. CDT",31350,31016,32350,1000
SOCO,"10/5/2024 3 p.m. CDT",32097,31784,33474,1377
SOCO,"10/5/2024 4 p.m. CDT",32285,31974,33611,1326
SOCO,"10/5/2024 5 p.m. CDT",31829,31516,33038,1209
SOCO,"10/5/2024 6 p.m. CDT",30704,30541,31689,985
SOCO,"10/5/2024 7 p.m. CDT",29517,29376,30788,1271
SOCO,"10/5/2024 8 p.m. CDT",28671,28452,30026,1355
SOCO,"10/5/2024 9 p.m. CDT",27331,27130,28346,1015
SOCO,"10/5/2024 10 p.m. CDT",25708,25562,26493,785
SOCO,"10/5/2024 11 p.m. CDT",24298,23992,24702,404
SOCO,"10/6/2024 12 a.m. CDT",22767,22477,23608,841
SOCO,"10/6/2024 1 a.m. CDT",21997,21194,22797,800
SOCO,"10/6/2024 2 a.m. CDT",21591,20399,22418,827
SOCO,"10/6/2024 3 a.m. CDT",20978,19783,21800,822
SOCO,"10/6/2024 4 a.m. CDT",20630,19444,21441,811
SOCO,"10/6/2024 5 a.m. CDT",20515,19329,21425,910
SOCO,"10/6/2024 6 a.m. CDT",20684,19549,21625,941
SOCO,"10/6/2024 7 a.m. CDT",20858,20003,22082,1224
SOCO,"10/6/2024 8 a.m. CDT",21642,20761,22879,1237
SOCO,"10/6/2024 9 a.m. CDT",22758,22242,23875,1117
SOCO,"10/6/2024 10 a.m. CDT",24093,23854,24990,897
SOCO,"10/6/2024 11 a.m. CDT",25862,25611,26539,677
SOCO,"10/6/2024 12 p.m. CDT",27470,27076,28422,952
SOCO,"10/6/2024 1 p.m. CDT",29021,28506,30066,1045
SOCO,"10/6/2024 2 p.m. CDT",30234,29668,31596,1362
SOCO,"10/6/2024 3 p.m. CDT",31097,30558,33070,1973
SOCO,"10/6/2024 4 p.m. CDT",31609,31074,33766,2157
SOCO,"10/6/2024 5 p.m. CDT",31695,31209,33764,2069
SOCO,"10/6/2024 6 p.m. CDT",30842,30554,32999,2157
SOCO,"10/6/2024 7 p.m. CDT",30021,29732,32336,2315
SOCO,"10/6/2024 8 p.m. CDT",29210,28813,31283,2073
SOCO,"10/6/2024 9 p.m. CDT",27620,27278,29328,1708
SOCO,"10/6/2024 10 p.m. CDT",25748,25415,26982,1234
SOCO,"10/6/2024 11 p.m. CDT",24147,23686,25017,870
SOCO,"10/7/2024 12 a.m. CDT",22856,22060,23274,418
SOCO,"10/7/2024 1 a.m. CDT",22131,20823,22535,404
SOCO,"10/7/2024 2 a.m. CDT",21364,20015,22023,659
SOCO,"10/7/2024 3 a.m. CDT",20919,19601,21767,848
SOCO,"10/7/2024 4 a.m. CDT",20882,19536,21843,961
SOCO,"10/7/2024 5 a.m. CDT",21595,20265,22536,941
SOCO,"10/7/2024 6 a.m. CDT",22857,21677,24076,1219
SOCO,"10/7/2024 7 a.m. CDT",23558,22905,24897,1339
SOCO,"10/7/2024 8 a.m. CDT",23821,23479,25198,1377
