"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"6/1/2024 12 a.m. CDT",23675,23479,24288,613
SOCO,"6/1/2024 1 a.m. CDT",22705,22073,23435,730
SOCO,"6/1/2024 2 a.m. CDT",21960,20998,22711,751
SOCO,"6/1/2024 3 a.m. CDT",21244,20242,21879,635
SOCO,"6/1/2024 4 a.m. CDT",20914,19913,21594,680
SOCO,"6/1/2024 5 a.m. CDT",20711,19725,21465,754
SOCO,"6/1/2024 6 a.m. CDT",20678,19763,21489,811
SOCO,"6/1/2024 7 a.m. CDT",20586,20031,21889,1303
SOCO,"6/1/2024 8 a.m. CDT",21552,20985,23322,1770
SOCO,"6/1/2024 9 a.m. CDT",22326,22070,24139,1813
SOCO,"6/1/2024 10 a.m. CDT",23416,23138,24817,1401
SOCO,"6/1/2024 11 a.m. CDT",24238,23956,25443,1205
SOCO,"6/1/2024 12 p.m. CDT",24881,24565,26096,1215
SOCO,"6/1/2024 1 p.m. CDT",25576,25276,27026,1450
SOCO,"6/1/2024 2 p.m. CDT",26257,25969,27986,1729
SOCO,"6/1/2024 3 p.m. CDT",26741,26442,28474,1733
SOCO,"6/1/2024 4 p.m. CDT",26999,26715,28781,1782
SOCO,"6/1/2024 5 p.m. CDT",27266,26980,28999,1733
SOCO,"6/1/2024 6 p.m. CDT",27234,26939,28919,1685
SOCO,"6/1/2024 7 p.m. CDT",26724,26497,28327,1603
SOCO,"6/1/2024 8 p.m. CDT",26298,26056,27905,1607
SOCO,"6/1/2024 9 p.m. CDT",26041,25794,27344,1303
SOCO,"6/1/2024 10 p.m. CDT",25007,24782,26132,1125
SOCO,"6/1/2024 11 p.m. CDT",23631,23415,24412,781
SOCO,"6/2/2024 12 a.m. CDT",22236,21984,22749,513
SOCO,"6/2/2024 1 a.m. CDT",21200,20918,21718,518
SOCO,"6/2/2024 2 a.m. CDT",20811,20139,21338,527
SOCO,"6/2/2024 3 a.m. CDT",20356,19485,20874,518
SOCO,"6/2/2024 4 a.m. CDT",20253,19243,20864,611
SOCO,"6/2/2024 5 a.m. CDT",20213,19208,20852,639
SOCO,"6/2/2024 6 a.m. CDT",20360,19375,21010,650
SOCO,"6/2/2024 7 a.m. CDT",20780,19783,21693,913
SOCO,"6/2/2024 8 a.m. CDT",21955,21081,23134,1179
SOCO,"6/2/2024 9 a.m. CDT",22995,22649,24294,1299
SOCO,"6/2/2024 10 a.m. CDT",24491,24157,25902,1411
SOCO,"6/2/2024 11 a.m. CDT",25796,25445,27106,1310
SOCO,"6/2/2024 12 p.m. CDT",27019,26618,28308,1289
SOCO,"6/2/2024 1 p.m. CDT",28233,27874,29561,1328
SOCO,"6/2/2024 2 p.m. CDT",29517,29203,30954,1437
SOCO,"6/2/2024 3 p.m. CDT",30606,30305,32105,1499
