"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"4/1/2024 12 a.m. CDT",19554,18977,20195,641
SOCO,"4/1/2024 1 a.m. CDT",18831,17981,19479,648
SOCO,"4/1/2024 2 a.m. CDT",18431,17512,19105,674
SOCO,"4/1/2024 3 a.m. CDT",18190,17253,18818,628
SOCO,"4/1/2024 4 a.m. CDT",17980,17513,18705,725
SOCO,"4/1/2024 5 a.m. CDT",18494,18279,19274,780
SOCO,"4/1/2024 6 a.m. CDT",19851,19636,20660,809
SOCO,"4/1/2024 7 a.m. CDT",21322,21169,22639,1317
SOCO,"4/1/2024 8 a.m. CDT",22185,21970,23756,1571
SOCO,"4/1/2024 9 a.m. CDT",22940,22703,24486,1546
SOCO,"4/1/2024 10 a.m. CDT",23615,23354,25439,1824
SOCO,"4/1/2024 11 a.m. CDT",24256,23948,26083,1827
SOCO,"4/1/2024 12 p.m. CDT",24657,24350,26453,1796
SOCO,"4/1/2024 1 p.m. CDT",25228,24921,27141,1913
SOCO,"4/1/2024 2 p.m. CDT",25577,25305,27199,1622
SOCO,"4/1/2024 3 p.m. CDT",25770,25453,27742,1972
SOCO,"4/1/2024 4 p.m. CDT",25914,25615,28043,2129
SOCO,"4/1/2024 5 p.m. CDT",26054,25776,28062,2008
SOCO,"4/1/2024 6 p.m. CDT",25975,25703,27822,1847
SOCO,"4/1/2024 7 p.m. CDT",25997,25818,27515,1518
SOCO,"4/1/2024 8 p.m. CDT",26387,26172,27804,1417
SOCO,"4/1/2024 9 p.m. CDT",25743,25544,27199,1456
SOCO,"4/1/2024 10 p.m. CDT",24417,24169,25574,1157
SOCO,"4/1/2024 11 p.m. CDT",23214,22489,23916,702
SOCO,"4/2/2024 12 a.m. CDT",22108,21026,22771,663
SOCO,"4/2/2024 1 a.m. CDT",21164,19923,21558,394
SOCO,"4/2/2024 2 a.m. CDT",20675,19288,21337,662
SOCO,"4/2/2024 3 a.m. CDT",20391,19035,20865,474
SOCO,"4/2/2024 4 a.m. CDT",20217,18978,20679,462
SOCO,"4/2/2024 5 a.m. CDT",20470,19538,21092,622
SOCO,"4/2/2024 6 a.m. CDT",21219,20824,22138,919
SOCO,"4/2/2024 7 a.m. CDT",22428,22210,23659,1231
SOCO,"4/2/2024 8 a.m. CDT",23056,22860,24573,1517
SOCO,"4/2/2024 9 a.m. CDT",23733,23514,25441,1708
SOCO,"4/2/2024 10 a.m. CDT",24409,24160,25788,1379
SOCO,"4/2/2024 11 a.m. CDT",25158,24885,26493,1335
SOCO,"4/2/2024 12 p.m. CDT",25793,25456,27242,1449
SOCO,"4/2/2024 1 p.m. CDT",26361,26088,27679,1318
SOCO,"4/2/2024 2 p.m. CDT",26991,26731,28275,1284
SOCO,"4/2/2024 3 p.m. CDT",27379,27163,28767,1388
SOCO,"4/2/2024 4 p.m. CDT",27614,27358,28840,1226
SOCO,"4/2/2024 5 p.m. CDT",27477,27249,28746,1269
SOCO,"4/2/2024 6 p.m. CDT",27362,27101,28957,1595
SOCO,"4/2/2024 7 p.m. CDT",27351,27206,28904,1553
SOCO,"4/2/2024 8 p.m. CDT",27493,27345,29027,1534
SOCO,"4/2/2024 9 p.m. CDT",26892,26675,28458,1566
SOCO,"4/2/2024 10 p.m. CDT",25370,25139,26600,1230
SOCO,"4/2/2024 11 p.m. CDT",24097,23552,25229,1132
SOCO,"4/3/2024 12 a.m. CDT",22876,21976,23736,860
SOCO,"4/3/2024 1 a.m. CDT",22169,20955,22955,786
SOCO,"4/3/2024 2 a.m. CDT",21545,20131,22282,737
SOCO,"4/3/2024 3 a.m. CDT",21116,19695,21734,618
SOCO,"4/3/2024 4 a.m. CDT",20796,19581,21650,854
SOCO,"4/3/2024 5 a.m. CDT",20866,19935,21806,940
SOCO,"4/3/2024 6 a.m. CDT",21649,20947,22661,1012
SOCO,"4/3/2024 7 a.m. CDT",22215,22049,23523,1308
SOCO,"4/3/2024 8 a.m. CDT",22535,22372,23864,1329
SOCO,"4/3/2024 9 a.m. CDT",22998,22875,24644,1646
SOCO,"4/3/2024 10 a.m. CDT",23358,23233,24960,1602
SOCO,"4/3/2024 11 a.m. CDT",23482,23356,25160,1678
SOCO,"4/3/2024 12 p.m. CDT",23441,23328,25124,1683
SOCO,"4/3/2024 1 p.m. CDT",23840,23349,25555,1715
SOCO,"4/3/2024 2 p.m. CDT",23946,23352,25776,1830
SOCO,"4/3/2024 3 p.m. CDT",23945,23324,25699,1754
SOCO,"4/3/2024 4 p.m. CDT",23917,23272,25753,1836
SOCO,"4/3/2024 5 p.m. CDT",23842,23317,26047,2205
SOCO,"4/3/2024 6 p.m. CDT",23400,23129,25363,1963
SOCO,"4/3/2024 7 p.m. CDT",23347,23162,25068,1721
SOCO,"4/3/2024 8 p.m. CDT",23967,23790,25882,1915
SOCO,"4/3/2024 9 p.m. CDT",23707,23534,25490,1783
SOCO,"4/3/2024 10 p.m. CDT",22669,22461,24287,1618
SOCO,"4/3/2024 11 p.m. CDT",21433,21114,22518,1085
SOCO,"4/4/2024 12 a.m. CDT",20790,20108,21669,879
