"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"1/1/2024 12 a.m. CST",25124,24787,26316,1192
SOCO,"1/1/2024 1 a.m. CST",25181,24570,26342,1161
SOCO,"1/1/2024 2 a.m. CST",25567,24499,26657,1090
SOCO,"1/1/2024 3 a.m. CST",25573,24501,26786,1213
SOCO,"1/1/2024 4 a.m. CST",25481,24801,26641,1160
SOCO,"1/1/2024 5 a.m. CST",25724,25386,26573,849
SOCO,"1/1/2024 6 a.m. CST",26514,26194,27457,943
SOCO,"1/1/2024 7 a.m. CST",27203,26874,28342,1139
SOCO,"1/1/2024 8 a.m. CST",27372,27141,28334,962
SOCO,"1/1/2024 9 a.m. CST",27055,26808,28016,961
SOCO,"1/1/2024 10 a.m. CST",26519,26296,27000,481
SOCO,"1/1/2024 11 a.m. CST",26217,25689,26853,636
SOCO,"1/1/2024 12 p.m. CST",25381,24828,26176,795
SOCO,"1/1/2024 1 p.m. CST",24956,24060,25742,786
SOCO,"1/1/2024 2 p.m. CST",24315,23392,25230,915
SOCO,"1/1/2024 3 p.m. CST",23699,23176,24865,1166
SOCO,"1/1/2024 4 p.m. CST",24282,23726,25357,1075
SOCO,"1/1/2024 5 p.m. CST",25121,25012,25919,798
SOCO,"1/1/2024 6 p.m. CST",26905,26708,27606,701
SOCO,"1/1/2024 7 p.m. CST",27400,27271,28427,1027
SOCO,"1/1/2024 8 p.m. CST",27544,27352,28517,973
SOCO,"1/1/2024 9 p.m. CST",27906,27700,29014,1108
SOCO,"1/1/2024 10 p.m. CST",27331,27124,28537,1206
SOCO,"1/1/2024 11 p.m. CST",26831,26608,27899,1068
SOCO,"1/2/2024 12 a.m. CST",26869,26308,27685,816
SOCO,"1/2/2024 1 a.m. CST",27321,26412,27941,620
SOCO,"1/2/2024 2 a.m. CST",27704,26784,28238,534
SOCO,"1/2/2024 3 a.m. CST",28080,27503,28593,513
SOCO,"1/2/2024 4 a.m. CST",28983,28767,29745,762
SOCO,"1/2/2024 5 a.m. CST",30733,30488,31128,395
SOCO,"1/2/2024 6 a.m. CST",33174,32888,33342,168
SOCO,"1/2/2024 7 a.m. CST",35343,35150,35164,-179
SOCO,"1/2/2024 8 a.m. CST",36086,35905,35974,-112
SOCO,"1/2/2024 9 a.m. CST",34687,34499,34639,-48
SOCO,"1/2/2024 10 a.m. CST",32748,32464,32848,100
SOCO,"1/2/2024 11 a.m. CST",31275,30681,31435,160
SOCO,"1/2/2024 12 p.m. CST",30439,29221,30657,218
SOCO,"1/2/2024 1 p.m. CST",29243,28024,29532,289
SOCO,"1/2/2024 2 p.m. CST",28622,27090,29055,433
SOCO,"1/2/2024 3 p.m. CST",27576,26409,28297,721
SOCO,"1/2/2024 4 p.m. CST",27602,26627,28405,803
SOCO,"1/2/2024 5 p.m. CST",28095,27886,29046,951
SOCO,"1/2/2024 6 p.m. CST",30328,30102,30982,654
SOCO,"1/2/2024 7 p.m. CST",31301,31040,31834,533
SOCO,"1/2/2024 8 p.m. CST",31740,31467,32062,322
SOCO,"1/2/2024 9 p.m. CST",31672,31407,32318,646
SOCO,"1/2/2024 10 p.m. CST",31165,30905,32072,907
SOCO,"1/2/2024 11 p.m. CST",30789,30316,31227,438
SOCO,"1/3/2024 12 a.m. CST",30337,29856,30737,400
SOCO,"1/3/2024 1 a.m. CST",30772,29908,30792,20
SOCO,"1/3/2024 2 a.m. CST",31057,30178,31058,1
SOCO,"1/3/2024 3 a.m. CST",31540,30700,31500,-40
SOCO,"1/3/2024 4 a.m. CST",31993,31657,31985,-8
SOCO,"1/3/2024 5 a.m. CST",33291,33079,33290,-1
SOCO,"1/3/2024 6 a.m. CST",35257,35112,35206,-51
SOCO,"1/3/2024 7 a.m. CST",36744,36588,36784,40
SOCO,"1/3/2024 8 a.m. CST",36628,36493,36656,28
SOCO,"1/3/2024 9 a.m. CST",35606,35456,35301,-305
SOCO,"1/3/2024 10 a.m. CST",34157,33967,33836,-321
SOCO,"1/3/2024 11 a.m. CST",33467,32982,33112,-355
SOCO,"1/3/2024 12 p.m. CST",33035,32212,32496,-539
SOCO,"1/3/2024 1 p.m. CST",32874,31550,32406,-468
SOCO,"1/3/2024 2 p.m. CST",32296,30972,31957,-339
SOCO,"1/3/2024 3 p.m. CST",32101,30782,31802,-299
SOCO,"1/3/2024 4 p.m. CST",32322,30982,32239,-83
SOCO,"1/3/2024 5 p.m. CST",32344,31746,32646,302
SOCO,"1/3/2024 6 p.m. CST",33109,32896,33331,222
SOCO,"1/3/2024 7 p.m. CST",33002,32754,33207,205
SOCO,"1/3/2024 8 p.m. CST",32499,32240,32585,86
SOCO,"1/3/2024 9 p.m. CST",31641,31389,31824,183
SOCO,"1/3/2024 10 p.m. CST",30338,30108,30457,119
SOCO,"1/3/2024 11 p.m. CST",29729,28894,29306,-423
SOCO,"1/4/2024 12 a.m. CST",29241,28352,28918,-323
SOCO,"1/4/2024 1 a.m. CST",29381,28178,29201,-180
SOCO,"1/4/2024 2 a.m. CST",29702,28436,29619,-83
SOCO,"1/4/2024 3 a.m. CST",30293,29038,30278,-15
SOCO,"1/4/2024 4 a.m. CST",30771,29960,30771,0
SOCO,"1/4/2024 5 a.m. CST",31897,31634,31909,12
SOCO,"1/4/2024 6 a.m. CST",34368,34133,34012,-356
SOCO,"1/4/2024 7 a.m. CST",36248,36128,36168,-80
SOCO,"1/4/2024 8 a.m. CST",36280,36089,36287,7
SOCO,"1/4/2024 9 a.m. CST",34516,34411,34395,-121
SOCO,"1/4/2024 10 a.m. CST",32484,32342,32449,-35
SOCO,"1/4/2024 11 a.m. CST",31388,30548,31490,102
SOCO,"1/4/2024 12 p.m. CST",30112,29057,30420,308
SOCO,"1/4/2024 1 p.m. CST",28992,27943,29465,473
SOCO,"1/4/2024 2 p.m. CST",28053,27020,28701,648
SOCO,"1/4/2024 3 p.m. CST",27367,26384,28112,745
SOCO,"1/4/2024 4 p.m. CST",27219,26614,28080,861
SOCO,"1/4/2024 5 p.m. CST",28513,27917,29425,912
SOCO,"1/4/2024 6 p.m. CST",30508,30188,31245,737
SOCO,"1/4/2024 7 p.m. CST",31382,31127,32115,733
SOCO,"1/4/2024 8 p.m. CST",31830,31571,32326,496
SOCO,"1/4/2024 9 p.m. CST",31750,31472,32310,560
SOCO,"1/4/2024 10 p.m. CST",31191,30932,31861,670
SOCO,"1/4/2024 11 p.m. CST",30661,30150,30979,318
SOCO,"1/5/2024 12 a.m. CST",30035,29767,30568,533
SOCO,"1/5/2024 1 a.m. CST",30238,29777,30507,269
SOCO,"1/5/2024 2 a.m. CST",30897,30057,31145,248
SOCO,"1/5/2024 3 a.m. CST",31263,30428,31656,393
SOCO,"1/5/2024 4 a.m. CST",31311,31102,32079,768
SOCO,"1/5/2024 5 a.m. CST",32832,32630,33518,686
SOCO,"1/5/2024 6 a.m. CST",35079,34903,35983,904
SOCO,"1/5/2024 7 a.m. CST",36693,36581,37433,740
SOCO,"1/5/2024 8 a.m. CST",36421,36433,37431,1010
SOCO,"1/5/2024 9 a.m. CST",34534,34842,35521,987
SOCO,"1/5/2024 10 a.m. CST",32347,32660,33118,771
SOCO,"1/5/2024 11 a.m. CST",30506,30631,31236,730
SOCO,"1/5/2024 12 p.m. CST",29411,29031,29983,572
SOCO,"1/5/2024 1 p.m. CST",28288,27814,29179,891
SOCO,"1/5/2024 2 p.m. CST",27530,27048,28324,794
SOCO,"1/5/2024 3 p.m. CST",27231,26681,28146,915
SOCO,"1/5/2024 4 p.m. CST",27321,26898,28451,1130
SOCO,"1/5/2024 5 p.m. CST",28213,27909,29746,1533
