category,Net Generation (MWh)
Thu Oct 01 2015,8802678.775
Sun Nov 01 2015,9159392.585
Tue Dec 01 2015,9017870.751
Fri Jan 01 2016,11324124.856
Mon Feb 01 2016,9704220.419
Tue Mar 01 2016,9018920.841
Fri Apr 01 2016,9352058.084
Sun May 01 2016,11205488.002
Wed Jun 01 2016,13034446.505
Fri Jul 01 2016,14175025.852
Mon Aug 01 2016,13743883.874
Thu Sep 01 2016,11462088.453
Sat Oct 01 2016,10140906.602
Tue Nov 01 2016,9301507.63
Thu Dec 01 2016,10439602.549
Sun Jan 01 2017,10419567.899
Wed Feb 01 2017,8554607.189
Wed Mar 01 2017,9366572.45
Sat Apr 01 2017,9561358.148
Mon May 01 2017,11182859.134
Thu Jun 01 2017,11568546.664
Sat Jul 01 2017,12623601.317
Tue Aug 01 2017,12766291.32
Fri Sep 01 2017,10730282.303
Sun Oct 01 2017,10341010.416
Wed Nov 01 2017,9401508.328
Fri Dec 01 2017,10925065.501
Mon Jan 01 2018,12350930.661
Thu Feb 01 2018,8584769.259
Thu Mar 01 2018,9554622.1
Sun Apr 01 2018,8465927.722
Tue May 01 2018,10434802.524
Fri Jun 01 2018,11893662.634
Sun Jul 01 2018,12294720.554
Wed Aug 01 2018,12166366.415
Sat Sep 01 2018,11621471.353
Mon Oct 01 2018,10703079.267
Thu Nov 01 2018,10417789.801
Sat Dec 01 2018,10744750.808
Tue Jan 01 2019,10811645.959
Fri Feb 01 2019,8375317.244
Fri Mar 01 2019,8220917.649
Mon Apr 01 2019,10024009.649
Wed May 01 2019,11741926.103
Sat Jun 01 2019,11752996.438
Mon Jul 01 2019,12769830.329
Thu Aug 01 2019,12566939.405
Sun Sep 01 2019,11791840.454
Tue Oct 01 2019,9884934.096
Fri Nov 01 2019,10144354.731
Sun Dec 01 2019,10510404.448
Wed Jan 01 2020,9170885.45
Sat Feb 01 2020,9105875.605
Sun Mar 01 2020,8064368.891
Wed Apr 01 2020,8127617.343
Fri May 01 2020,9839225.668
Mon Jun 01 2020,10194550.381
Wed Jul 01 2020,12310988.58
Sat Aug 01 2020,12313782.82
Tue Sep 01 2020,10142296.538
Thu Oct 01 2020,9353559.776
Sun Nov 01 2020,9637627.688
Tue Dec 01 2020,11332596.91
Fri Jan 01 2021,10325059.066
Mon Feb 01 2021,9515283.37
Mon Mar 01 2021,8410184.946
Thu Apr 01 2021,9421582.245
Sat May 01 2021,10388738.001
Tue Jun 01 2021,11894339.369
