ds,yhat,offset
2030-01-01,18384.499415276263,7.050000000000001
2030-01-02,18337.611276573705,7.053150684931463
2030-01-03,18305.184013027952,7.056301369862922
2030-01-04,18288.05616710224,7.059452054794644
2030-01-05,18286.702301996505,7.062602739726106
2030-01-06,18301.220981305265,7.065753424657569
2030-01-07,18331.332207142666,7.0689041095890275
2030-01-08,18376.384378383293,7.07205479452049
2030-01-09,18435.370577129306,7.075205479451949
2030-01-10,18506.953743324815,7.078356164383674
2030-01-11,18589.50006143887,7.081506849315133
2030-01-12,18681.119665798065,7.084657534246595
2030-01-13,18779.71357837472,7.087808219178054
2030-01-14,18883.02562998779,7.090958904109517
2030-01-15,18988.697987279036,7.094109589040979
2030-01-16,19094.328817031696,7.097260273972701
2030-01-17,19197.53056879039,7.10041095890416
2030-01-18,19295.987347652783,7.103561643835622
2030-01-19,19387.509881597955,7.106712328767085
2030-01-20,19470.08666091779,7.1098630136985435
2030-01-21,19541.929938928777,7.113013698630265
2030-01-22,19601.51543008111,7.116164383561728
2030-01-23,19647.614719599827,7.11931506849319
2030-01-24,19679.31960285645,7.122465753424649
2030-01-25,19696.057797077126,7.125616438356111
2030-01-26,19697.599706387075,7.12876712328757
2030-01-27,19684.056166942188,7.1319178082192956
2030-01-28,19655.86734514592,7.135068493150754
2030-01-29,19613.78320185056,7.138219178082217
2030-01-30,19558.836162350963,7.141369863013676
2030-01-31,19492.30683967012,7.144520547945138
2030-02-01,19415.683841384867,7.1476712328766006
2030-02-02,19330.618843126063,7.150821917808322
2030-02-03,19238.87823076012,7.153972602739781
2030-02-04,19142.2926950097,7.157123287671244
2030-02-05,19042.70620483283,7.160273972602706
2030-02-06,18941.925788225537,7.163424657534165
2030-02-07,18841.67351150959,7.166575342465627
2030-02-08,18743.541971802508,7.169726027397349
2030-02-09,18648.95450468695,7.1728767123288115
2030-02-10,18559.131163493905,7.17602739726027
2030-02-11,18475.06135233248,7.179178082191733
2030-02-12,18397.48379720517,7.182328767123192
2030-02-13,18326.874323936347,7.185479452054917
2030-02-14,18263.441684411966,7.188630136986376
2030-02-15,18207.131440310863,7.191780821917838
2030-02-16,18157.637682708606,7.194931506849297
2030-02-17,18114.422143183983,7.19808219178076
2030-02-18,18076.740043639846,7.201232876712222
2030-02-19,18043.671843812328,7.204383561643944
2030-02-20,18014.159882588843,7.207534246575403
2030-02-21,17987.048776306663,7.210684931506865
2030-02-22,17961.128337736714,7.2138356164383275
2030-02-23,17935.177716131926,7.216986301369786
2030-02-24,17908.00943312072,7.220136986301249
2030-02-25,17878.5120018659,7.2232876712329706
2030-02-26,17845.689867193956,7.226438356164433
2030-02-27,17808.69949071357,7.229589041095892
2030-02-28,17766.880524547767,7.232739726027354
2030-03-01,17719.78116665868,7.235890410958813
2030-03-02,17667.176965364222,7.2390410958905385
2030-03-03,17609.08253539953,7.242191780821997
2030-03-04,17545.75585708606,7.24534246575346
2030-03-05,17477.695047753332,7.248493150684919
2030-03-06,17405.627714239887,7.251643835616381
2030-03-07,17330.493210756176,7.2547945205478435
2030-03-08,17253.418331501296,7.257945205479565
2030-03-09,17175.687156319203,7.261095890411024
2030-03-10,17098.70593505634,7.2642465753424865
2030-03-11,17023.964037441903,7.267397260273949
2030-03-12,16952.992106339974,7.270547945205408
2030-03-13,16887.318630076876,7.27369863013687
2030-03-14,16828.426192196544,7.276849315068592
2030-03-15,16777.70866333352,7.280000000000054
2030-03-16,16736.430569995915,7.283150684931513
2030-03-17,16705.689809860167,7.286301369862976
2030-03-18,16686.384784827576,7.289452054794435
2030-03-19,16679.186894492,7.29260273972616
2030-03-20,16684.51917767192,7.295753424657619
2030-03-21,16702.541712842016,7.298904109589081
2030-03-22,16733.14419478761,7.30205479452054
2030-03-23,16775.94590026315,7.3052054794520025
2030-03-24,16830.303045700755,7.308356164383465
2030-03-25,16895.32333114493,7.311506849315187
2030-03-26,16969.887262514374,7.3146575342466456
2030-03-27,17052.675654748826,7.317808219178108
2030-03-28,17142.202546679782,7.32095890410957
2030-03-29,17236.85260943741,7.324109589041029
2030-03-30,17334.92200789149,7.327260273972492
2030-03-31,17434.66158240608,7.3304109589042135
2030-04-01,17534.321158497427,7.333561643835676
2030-04-02,17632.19376628157,7.336712328767135
2030-04-03,17726.65856044525,7.339863013698597
2030-04-04,17816.221274367545,7.343013698630056
2030-04-05,17899.55111749571,7.3461643835615185
2030-04-06,17975.51313080745,7.34931506849324
2030-04-07,18043.195147923172,7.352465753424703
2030-04-08,18101.92866520137,7.3556164383561615
2030-04-09,18151.303098371496,7.358767123287624
2030-04-10,18191.17309083775,7.361917808219083
2030-04-11,18221.65873426574,7.365068493150808
2030-04-12,18243.138759858462,7.368219178082267
2030-04-13,18256.236953168336,7.371369863013729
2030-04-14,18261.80223087935,7.374520547945188
2030-04-15,18260.882989544934,7.377671232876651
2030-04-16,18254.696489008635,7.380821917808113
2030-04-17,18244.594162985544,7.383972602739835
2030-04-18,18232.02385258349,7.387123287671294
2030-04-19,18218.490032683287,7.390273972602756
2030-04-20,18205.51314425296,7.393424657534219
2030-04-21,18194.589156916787,7.3965753424656775
2030-04-22,18187.150465463605,7.39972602739714
2030-04-23,18184.529172325223,7.402876712328862
2030-04-24,18187.923727264722,7.406027397260324
2030-04-25,18198.369788147138,7.409178082191783
2030-04-26,18216.716036130783,7.412328767123245
2030-04-27,18243.605528896318,7.415479452054704
2030-04-28,18279.463011163436,7.41863013698643
2030-04-29,18324.488427578384,7.4217808219178885
2030-04-30,18378.65670429039,7.424931506849351
2030-05-01,18441.723687270973,7.42808219178081
2030-05-02,18513.23795291863,7.431232876712272
2030-05-03,18592.558044535752,7.434383561643735
2030-05-04,18678.874541487858,7.437534246575456
2030-05-05,18771.236240271544,7.440684931506915
2030-05-06,18868.579621812023,7.443835616438378
2030-05-07,18969.760699784816,7.44698630136984
2030-05-08,19073.5882926665,7.450136986301299
2030-05-09,19178.857738614737,7.453287671232761
2030-05-10,19284.384077575138,7.456438356164483
2030-05-11,19389.033758568832,7.459589041095946
2030-05-12,19491.753990633028,7.462739726027404
2030-05-13,19591.598941164415,7.465890410958867
2030-05-14,19687.752092673785,7.469041095890326
2030-05-15,19779.544194639493,7.472191780821788
2030-05-16,19866.466387399483,7.47534246575351
2030-05-17,19948.178225396092,7.478493150684972
2030-05-18,20024.510483069254,7.481643835616431
2030-05-19,20095.462783519644,7.484794520547894
2030-05-20,20161.1962431357,7.487945205479356
2030-05-21,20222.021470103038,7.491095890411078
2030-05-22,20278.3823870045,7.494246575342537
2030-05-23,20330.836463708183,7.497397260273999
2030-05-24,20380.03204325393,7.5005479452054615
2030-05-25,20426.683517843427,7.50369863013692
2030-05-26,20471.545162410413,7.506849315068383
2030-05-27,20515.38445840504,7.510000000000105
2030-05-28,20558.95574000577,7.513150684931567
2030-05-29,20602.974969301125,7.516301369863026
2030-05-30,20648.096397246336,7.519452054794488
2030-05-31,20694.89179520476,7.522602739725947
2030-06-01,20743.83285015941,7.52575342465741
2030-06-02,20795.277208264495,7.528904109589131
2030-06-03,20849.45852987659,7.532054794520594
2030-06-04,20906.480788405606,7.535205479452053
2030-06-05,20966.316909434623,7.538356164383515
2030-06-06,21028.81170977608,7.5415068493149775
2030-06-07,21093.688962694465,7.544657534246699
2030-06-08,21160.56228948261,7.547808219178158
2030-06-09,21228.94946272477,7.550958904109621
2030-06-10,21298.28960631254,7.554109589041083
2030-06-11,21367.962694521666,7.557260273972542
2030-06-12,21437.310689524526,7.560410958904004
2030-06-13,21505.659615351768,7.563561643835726
2030-06-14,21572.341847492153,7.5667123287671885
2030-06-15,21636.717901392,7.569863013698647
2030-06-16,21698.197029627743,7.57301369863011
2030-06-17,21756.25598544558,7.576164383561569
2030-06-18,21810.455377845974,7.579315068493031
2030-06-19,21860.45312820854,7.582465753424753
2030-06-20,21906.01463762809,7.585616438356215
2030-06-21,21947.01938447713,7.588767123287674
2030-06-22,21983.46378955237,7.5919178082191365
2030-06-23,22015.460307761063,7.595068493150599
2030-06-24,22043.232826718067,7.598219178082321
2030-06-25,22067.10857006158,7.60136986301378
2030-06-26,22087.506813033193,7.604520547945242
2030-06-27,22104.924816515646,7.607671232876704
2030-06-28,22119.921470247835,7.610821917808163
2030-06-29,22133.099203764767,7.613972602739626
2030-06-30,22145.084772749986,7.6171232876713475
2030-07-01,22156.509557517325,7.62027397260281
2030-07-02,22167.990018511497,7.623424657534269
2030-07-03,22180.108940936916,7.626575342465731
2030-07-04,22193.39806748709,7.62972602739719
2030-07-05,22208.32266585341,7.6328767123286525
2030-07-06,22225.26850809223,7.636027397260374
2030-07-07,22244.531654378574,7.639178082191837
2030-07-08,22266.311337014944,7.642328767123296
2030-07-09,22290.706134993874,7.645479452054758
2030-07-10,22317.713518422774,7.64863013698622
2030-07-11,22347.232729330095,7.651780821917679
2030-07-12,22379.07085446229,7.654931506849401
2030-07-13,22412.951840262045,7.6580821917808635
2030-07-14,22448.52810369059,7.661232876712326
2030-07-15,22485.394308032926,7.664383561643785
2030-07-16,22523.102803041314,7.667534246575247
2030-07-17,22561.180175938658,7.670684931506969
2030-07-18,22599.14432562972,7.673835616438431
2030-07-19,22636.52145800803,7.67698630136989
2030-07-20,22672.86240595917,7.680136986301353
2030-07-21,22707.757703329855,7.6832876712328115
2030-07-22,22740.850886880442,7.686438356164274
2030-07-23,22771.849562618154,7.689589041095996
2030-07-24,22800.533850847532,7.692739726027458
2030-07-25,22826.761915233154,7.695890410958917
2030-07-26,22850.47238215919,7.699041095890379
2030-07-27,22871.68356440338,7.702191780821842
2030-07-28,22890.489514048528,7.705342465753301
2030-07-29,22907.053040037925,7.7084931506850225
2030-07-30,22921.595932150623,7.711643835616485
2030-07-31,22934.3867319555,7.714794520547947
2030-08-01,22945.726479164183,7.717945205479406
2030-08-02,22955.93293584462,7.721095890410869
2030-08-03,22965.32384862425,7.72424657534259
2030-08-04,22974.199848332435,7.727397260274053
2030-08-05,22982.827606090086,7.730547945205512
2030-08-06,22991.423863836222,7.733698630136974
2030-08-07,23000.140935629504,7.736849315068433
2030-08-08,23009.054234223226,7.739999999999895
2030-08-09,23018.152316665197,7.743150684931617
2030-08-10,23027.329864768955,7.74630136986308
2030-08-11,23036.38392365049,7.7494520547945385
2030-08-12,23045.01361696011,7.752602739726001
2030-08-13,23052.823444270856,7.755753424657463
2030-08-14,23059.330147852455,7.758904109588922
2030-08-15,23063.97301655406,7.762054794520644
2030-08-16,23066.12737757182,7.765205479452106
2030-08-17,23065.120916300926,7.768356164383569
2030-08-18,23060.25236386565,7.771506849315028
2030-08-19,23050.81200468308,7.77465753424649
2030-08-20,23036.103385459803,7.777808219178212
2030-08-21,23015.46555484611,7.780958904109674
2030-08-22,22988.295131492447,7.784109589041133
2030-08-23,22954.067488706558,7.787260273972596
2030-08-24,22912.356356938035,7.790410958904054
2030-08-25,22862.851180782465,7.793561643835517
2030-08-26,22805.371624289488,7.796712328767239
2030-08-27,22739.878695586685,7.799863013698701
2030-08-28,22666.48205704539,7.80301369863016
2030-08-29,22585.44319766333,7.806164383561622
2030-08-30,22497.174266788126,7.809315068493085
2030-08-31,22402.232499127094,7.812465753424544
2030-09-01,22301.310296158263,7.815616438356265
2030-09-02,22195.221164496375,7.818767123287728
2030-09-03,22084.881843266947,7.82191780821919
2030-09-04,21971.29107590123,7.825068493150649
2030-09-05,21855.505593188267,7.8282191780821115
2030-09-06,21738.61397016484,7.83136986301357
2030-09-07,21621.709096401068,7.834520547945296
2030-09-08,21505.860054815912,7.837671232876755
2030-09-09,21392.08423628428,7.840821917808217
2030-09-10,21281.32052468003,7.843972602739676
2030-09-11,21174.404369117263,7.847123287671138
2030-09-12,21072.04551710138,7.85027397260286
2030-09-13,20974.80911511861,7.8534246575343225
2030-09-14,20883.100793584068,7.856575342465781
2030-09-15,20797.156243392714,7.859726027397244
2030-09-16,20717.035664676852,7.862876712328706
2030-09-17,20642.623328372774,7.866027397260165
2030-09-18,20573.632341834942,7.869178082191887
2030-09-19,20509.614555446507,7.872328767123349
2030-09-20,20449.975392544453,7.875479452054808
2030-09-21,20393.99323458432,7.878630136986271
2030-09-22,20340.842852001835,7.881780821917733
2030-09-23,20289.622242958463,7.884931506849192
2030-09-24,20239.38213113703,7.888082191780914
2030-09-25,20189.157283554858,7.891232876712376
2030-09-26,20137.998742908825,7.8943835616438385
2030-09-27,20085.006028564818,7.897534246575297
2030-09-28,20029.3583475208,7.90068493150676
2030-09-29,19970.34387218553,7.9038356164384815
2030-09-30,19907.38618554539,7.906986301369944
2030-10-01,19840.06706531644,7.910136986301403
2030-10-02,19768.144875158112,7.913287671232865
2030-10-03,19691.567950474968,7.916438356164324
2030-10-04,19610.482505464304,7.9195890410957865
2030-10-05,19525.23474298737,7.922739726027508
2030-10-06,19436.367015164655,7.925890410958971
2030-10-07,19344.6080555721,7.92904109589043
2030-10-08,19250.857478442205,7.932191780821892
2030-10-09,19156.16491128922,7.9353424657533544
2030-10-10,19061.704289781843,7.938493150684813
2030-10-11,18968.743992539847,7.941643835616535
2030-10-12,18878.61362439306,7.9447945205479975
2030-10-13,18792.668365364683,7.94794520547946
2030-10-14,18712.251885824466,7.951095890410919
2030-10-15,18638.658883184868,7.954246575342381
2030-10-16,18573.098320200545,7.95739726027384
2030-10-17,18516.658438361254,7.960547945205565
2030-10-18,18470.27458188951,7.963698630137024
2030-10-19,18434.70079918755,7.966849315068487
2030-10-20,18410.486090936334,7.969999999999946
2030-10-21,18397.956049966757,7.973150684931408
2030-10-22,18397.200490807016,7.97630136986313
2030-10-23,18408.06750053494,7.979452054794592
2030-10-24,18430.164161879413,7.982602739726051
2030-10-25,18462.864009483837,7.9857534246575135
2030-10-26,18505.321086372733,7.988904109588976
2030-10-27,18556.490275480213,7.992054794520435
2030-10-28,18615.15339625786,7.9952054794521565
2030-10-29,18679.9503842931,7.998356164383619
2030-10-30,18749.414717688996,8.001506849315081
2030-10-31,18822.012122312903,8.00465753424654
2030-11-01,18896.181482970947,8.007808219178003
2030-11-02,18970.376812418366,8.010958904109462
2030-11-03,19043.109087348734,8.014109589041187
2030-11-04,19112.986751644916,8.017260273972646
2030-11-05,19178.753712878348,8.020410958904108
2030-11-06,19239.323717821466,8.023561643835567
2030-11-07,19293.81008527614,8.02671232876703
2030-11-08,19341.54989740761,8.029863013698751
2030-11-09,19382.121900803555,8.033013698630214
2030-11-10,19415.35754154711,8.036164383561673
2030-11-11,19441.34474997407,8.039315068493135
2030-11-12,19460.424295137043,8.042465753424597
2030-11-13,19473.178740549243,8.045616438356056
2030-11-14,19480.414245558066,8.048767123287778
2030-11-15,19483.1356645743,8.05191780821924
2030-11-16,19482.51559337788,8.055068493150703
2030-11-17,19479.858192064967,8.058219178082162
2030-11-18,19476.558772607765,8.061369863013624
2030-11-19,19474.060270714486,8.064520547945083
2030-11-20,19473.807822708477,8.067671232876808
2030-11-21,19477.202735334606,8.070821917808267
2030-11-22,19485.557167527983,8.07397260273973
2030-11-23,19500.050837033134,8.077123287671188
2030-11-24,19521.691021210194,8.080273972602651
2030-11-25,19551.27704130171,8.083424657534373
2030-11-26,19589.370304834425,8.086575342465835
2030-11-27,19636.270834661274,8.089726027397294
2030-11-28,19692.001039263603,8.092876712328756
2030-11-29,19756.297282082538,8.096027397260219
2030-11-30,19828.609593145226,8.099178082191678
2030-12-01,19908.109640099436,8.1023287671234
2030-12-02,19993.706844187654,8.105479452054862
2030-12-03,20084.072296247316,8.108630136986324
2030-12-04,20177.66990496371,8.111780821917783
2030-12-05,20272.794000699578,8.114931506849246
2030-12-06,20367.612429255918,8.118082191780704
2030-12-07,20460.214006343533,8.12123287671243
2030-12-08,20548.659070123034,8.124383561643889
2030-12-09,20631.031769912202,8.127534246575351
2030-12-10,20705.49266702441,8.13068493150681
2030-12-11,20770.330200725104,8.133835616438272
2030-12-12,20824.009589373014,8.136986301369735
2030-12-13,20865.217793728098,8.140136986301457
2030-12-14,20892.90326481409,8.143287671232915
2030-12-15,20906.309330238375,8.146438356164378
2030-12-16,20905.0002369938,8.14958904109584
2030-12-17,20888.8790611716,8.1527397260273
2030-12-18,20858.196910480336,8.155890410959021
2030-12-19,20813.553078140605,8.159041095890483
2030-12-20,20755.88605026577,8.162191780821946
2030-12-21,20686.45551649406,8.165342465753405
2030-12-22,20606.815778651395,8.168493150684867
2030-12-23,20518.781187713055,8.171643835616326
2030-12-24,20424.384458810993,8.174794520548051
2030-12-25,20325.828911349396,8.17794520547951
2030-12-26,20225.43585090235,8.181095890410973
2030-12-27,20125.58844670075,8.184246575342431
2030-12-28,20028.673559305415,8.187397260273894
2030-12-29,19937.02303457557,8.190547945205356
2030-12-30,19852.8560005012,8.193698630137078
2030-12-31,19778.223682214448,8.196849315068537
