Month,Scaling
1,inf
2,0.5132180458227743
3,0.4927656213040016
4,0.5716705631793821
5,0.5582039681336554
6,0.5414349340555461
7,0.5297848967971621
8,0.5425473526322504
9,0.5336166995830025
10,0.5450618531948636
11,0.5648470621172367
12,0.5495228405536341
